resolution,parcel_idx,rho,r2,x,y,z,hemi
200,50,0.5991387161054489,0.9999054103961389,-50.37609672850283,-36.35076282359159,13.670849928652785,lh
200,51,0.6029772878402385,0.999892316415912,-54.043102471663815,-9.272849914991255,11.74760350903336,lh
200,52,0.6020390201548158,0.9998946971766428,-54.32352186307699,-22.588129542354544,17.7789649890394,lh
200,53,0.6036282741497722,0.999885979355109,-60.598630741846165,-8.743258163131124,27.13726442105814,lh
200,54,0.6031083240914286,0.9998868669052033,-51.75609634545719,-17.15167519919137,33.322177626492945,lh
200,55,0.6025606401961022,0.9998876581086337,-47.805757018276545,-14.000413532785064,39.06615861412178,lh
200,56,0.5963334979155933,0.9999146178850622,-23.805298043222386,-14.987816437280784,45.29336919196372,lh
200,57,0.6065579636136628,0.9998913309081048,-31.4309310791405,-41.7305473893453,-23.353852010419683,lh
200,58,0.6083191372802612,0.9998821049532252,-33.94401216580805,-48.14691026980414,-19.142539866393577,lh
200,59,0.6009730021154768,0.9998958112241733,-11.550274547834842,-63.68739507311483,5.3525703194977075,lh
200,60,0.6009733014197938,0.9998913772909825,-29.96179049811959,-74.78743002748642,7.890208835815613,lh
200,61,0.5990217619721895,0.9998974297797898,-9.08015933793611,-90.9359136500662,19.439485991880854,lh
200,62,0.5969660173526679,0.9999118995148043,-20.700765583180953,-77.30190152050744,18.035913663974164,lh
200,63,0.6000241972466512,0.9998930429620544,-25.370136713846847,-85.46279522127617,25.827997452386807,lh
200,64,0.5968332003912505,0.9999125660320736,-17.37780431751078,-78.35198280542154,36.292900492794665,lh
200,65,0.5997712311778689,0.9999001241763927,-25.749756961281626,-63.78779429599895,-9.717989029746743,lh
200,66,0.60720515468043,0.9998784023213565,-26.829102899062335,-59.25943586527107,-14.451436575545053,lh
200,67,0.6078051760586024,0.9998714558433046,-30.651834133483092,-78.56853313605839,-10.861808027058775,lh
200,68,0.6041701102440685,0.999888646267719,-10.749538724782049,-69.2876765734594,-6.674528503458047,lh
200,69,0.6075449212402415,0.9998748917233927,-19.110618653953033,-70.6369101301344,-8.548178368300468,lh
200,70,0.6052811493235629,0.9998782795425056,-25.03549060494392,-92.39422750009561,-4.723341656332424,lh
200,71,0.604101207912207,0.9998824981816807,-29.91343222958218,-65.49787149557814,1.1944139562454361,lh
200,72,0.6026516886956029,0.9998872191376077,-16.559323291189045,-91.25576681047647,3.7021754842260597,lh
200,73,0.6020726431815792,0.9998972529466309,28.33849222073292,-11.731500282565703,13.217015064246565,rh
200,74,0.6005011079236784,0.999898711647476,28.706490376260533,-12.119787858552197,24.22316927229383,rh
200,75,0.5999160269843111,0.9999003305382571,44.75617688267459,-2.187423769630726,26.409170904581813,rh
200,76,0.6013205419558777,0.9998979177585416,42.30127184513645,-2.98970583595653,28.029665387981613,rh
200,77,0.6033944181949078,0.9998962357043876,36.41624228623819,38.23793398459344,25.25229211110026,rh
200,78,0.599255997958983,0.9999098726816398,36.84728846082545,20.955020868621936,33.85378761907299,rh
200,79,0.5994744444501124,0.999902823115959,41.25147936856772,13.770503605040904,43.14300599212435,rh
200,80,0.6013118283804646,0.9998953648259525,29.453008952028,11.988946323548006,53.14766600487191,rh
200,81,0.6048316233864041,0.9998955334340945,30.467862640159968,-9.249490416424464,-5.552107906602099,rh
200,82,0.6015699010370048,0.9999000757309972,32.45842126932348,-6.5332382697122,3.8822018562693863,rh
200,83,0.5996114097713561,0.9999012728461263,33.60112814919449,-15.615393345195217,15.63246444336409,rh
