resolution,parcel_idx,rho,r2,label,hemi,network,x,y,z
400,58,0.6069412095763932,0.9998837083181252,7Networks_LH_Default_Temp_5-lh,lh,Default,-56.14723524146419,-0.4664827350988786,-11.205865896063736
400,59,0.6068529380409333,0.9998740611494242,7Networks_LH_Default_Temp_6-lh,lh,Default,-58.67622828198444,-38.53217578000066,-5.0871125535864685
400,60,0.6051465629189678,0.9998834642985013,7Networks_LH_Default_Temp_7-lh,lh,Default,-51.35545365942661,-28.308782433717383,-6.800510683236047
400,61,0.6095968532186468,0.9998736151653683,7Networks_LH_Default_Temp_8-lh,lh,Default,-61.78149339379368,-16.813580985261474,-3.943987178188997
400,62,0.6060786730558223,0.9998770021844676,7Networks_LH_Default_Temp_9-lh,lh,Default,-61.810173705013,-35.032639649363446,2.062868429731705
400,63,0.6017256204039586,0.9998938448077981,7Networks_LH_Default_pCunPCC_1-lh,lh,Default,-7.1763669689368585,-54.03647287252248,7.499414140005204
400,64,0.5954854907075178,0.9999234227183648,7Networks_LH_Default_pCunPCC_10-lh,lh,Default,-4.11859862944659,-65.55800170732219,41.53012864522165
400,65,0.5936950346348191,0.999928025776042,7Networks_LH_Default_pCunPCC_11-lh,lh,Default,-7.123247340262015,-49.818272388727465,42.59006779616111
400,66,0.59841643115043,0.9999070450131696,7Networks_LH_Default_pCunPCC_2-lh,lh,Default,-14.11254913537572,-62.67526649996493,17.11080800938307
400,67,0.5962039629977074,0.9999147252717866,7Networks_LH_Default_pCunPCC_3-lh,lh,Default,-3.2310558035969734,-54.12389100514925,20.204847374023537
400,68,0.6024456068410179,0.9998879517455032,7Networks_LH_Default_pCunPCC_4-lh,lh,Default,-4.187172914616038,-39.83902543355404,24.192996006833308
400,69,0.5928178950779011,0.9999306014687321,7Networks_LH_Default_pCunPCC_5-lh,lh,Default,-12.182870918188613,-68.88448113755297,30.34756563875241
400,70,0.5939268424945139,0.9999276302598369,7Networks_LH_Default_pCunPCC_6-lh,lh,Default,-6.210162707089527,-59.21063153043514,29.97880504757839
400,71,0.5983697352730064,0.9999023369285417,7Networks_LH_Default_pCunPCC_7-lh,lh,Default,-7.397917231708242,-43.84895533288432,33.774448196790374
400,72,0.5984727874146866,0.9999023117232353,7Networks_LH_Default_pCunPCC_8-lh,lh,Default,-2.999572497981412,-31.003679178811453,39.53711645419781
400,73,0.5968672862362602,0.9999096090900653,7Networks_LH_Default_pCunPCC_9-lh,lh,Default,-1.8576950583632528,-14.542882574504793,39.12657913627014
400,74,0.5999760757945812,0.9999025129116844,7Networks_LH_DorsAttn_FEF_1-lh,lh,DorsAttn,-42.38063602239867,-4.416281575106394,49.41332086471154
400,75,0.599176967402303,0.9999162683032302,7Networks_LH_DorsAttn_FEF_2-lh,lh,DorsAttn,-26.209761056873607,-0.553784114816239,51.04001641735806
400,76,0.5982893245058097,0.9999142262427758,7Networks_LH_DorsAttn_FEF_3-lh,lh,DorsAttn,-30.667170245005902,-7.23287867207125,49.05226208024236
400,77,0.5984151439593692,0.9999107356539871,7Networks_LH_DorsAttn_FEF_4-lh,lh,DorsAttn,-21.806398165744284,5.312929678721981,59.09587647811226
400,78,0.6079367989723206,0.999877722399042,7Networks_LH_DorsAttn_Post_1-lh,lh,DorsAttn,-44.205691876883705,-41.47907080056187,-24.02837216130461
400,79,0.5968380663260519,0.999920819625104,7Networks_LH_DorsAttn_Post_10-lh,lh,DorsAttn,-27.93978271047577,-56.96442309226698,45.037484685883264
400,80,0.5972909011143673,0.9999203203374938,7Networks_LH_DorsAttn_Post_11-lh,lh,DorsAttn,-35.27278000163281,-38.49769673009557,44.12522832990632
400,81,0.5982886028083343,0.9999131288707108,7Networks_LH_DorsAttn_Post_12-lh,lh,DorsAttn,-34.70367788801006,-51.61386739818099,51.68537143632477
