parcel_idx,n_subjects,total_power,spectral_exponent,spectral_exponent_r2,delta_power,theta_power,alpha_power,beta_power,gamma_power,gamma_delta_ratio,fast_slow_ratio,peak_freq
100,203,0.7279213277278532,0.3996077300440345,0.8116759825079294,0.18747950752611398,0.09129987032233289,0.08622534382408277,0.23631813325754955,0.1265984727977741,0.7526816104522888,1.3675635129511121,1.0123152709359606
101,203,0.6822750062517124,0.2792584149712133,0.7473059396662903,0.1252881754441065,0.08541339171782929,0.08336245151093329,0.25178551902950586,0.13642546854933743,1.1813297426299492,1.918793155756262,1.0
102,203,0.725918119837989,0.28121815170414566,0.769687921124552,0.13842600589040602,0.08714876144419485,0.09129092823929282,0.26294789248237854,0.1461045317817168,1.123309356328523,1.8600208458434206,1.0566502463054188
103,203,0.7144025842611159,0.3608218107344943,0.7774396971758716,0.16557990682429896,0.09153842356515647,0.08564014456631086,0.2393983311360102,0.13224577816933933,0.8441778222970958,1.4845464900713192,1.0763546798029557
104,203,0.6961228105377463,0.32972042645014144,0.7431596557058612,0.14432221880368237,0.08534044586874821,0.09017294182172121,0.2448452939869688,0.13144191005662564,0.9900045060596504,1.7068753162499228,1.0517241379310345
105,203,0.7702683743402574,0.1777827767892481,0.6705542377358116,0.10812185233614202,0.0897927359251811,0.09706167489441568,0.30296142120558694,0.17233068997893175,1.6367630255682664,2.4264288353895576,1.0073891625615763
106,203,0.7681578345702802,0.2082009219171665,0.6950642129226384,0.11370054358284462,0.09002052024622888,0.10091114563573284,0.2978841754559912,0.16564144964948277,1.5071114817566913,2.311460243045139,1.0886699507389161
107,203,0.6368038508362153,0.3433928978423485,0.7462167765817408,0.14933141164050456,0.07925853903895129,0.07334646352623714,0.2152713180590434,0.11959611857147882,0.864416649441379,1.5157819840010844,1.0073891625615763
108,203,0.7744505457114208,0.3671526277106415,0.8105562006001384,0.17856960045440767,0.09806680617741403,0.09520296945866251,0.26164541152332166,0.14096575809761502,0.8438843037355832,1.5017119566049228,1.0147783251231528
109,203,0.797016618197696,0.3816278459307444,0.7817707502859792,0.16250722870451997,0.10213622428917306,0.11800437446509333,0.2719743359725455,0.14239445476636406,0.9208748691900771,1.6048800614029777,1.1724137931034482
110,203,0.7565096361040079,0.4905251620602352,0.8546370862581749,0.1928600010416897,0.10976399220739695,0.09765024728613271,0.23373108934064296,0.12250430622814554,0.667852302570717,1.2083267806370515,1.0
111,203,0.7434252047597589,0.4766697132641154,0.8595710655224759,0.1852078937167173,0.10486327187291086,0.09955305117681329,0.23235741953852918,0.12144356845478822,0.6874992565812849,1.2506923364028297,1.0
112,203,0.7524935046996152,0.5101373698498943,0.8434513141465213,0.21868022237508397,0.10713303328752644,0.08874251340870701,0.22179334323204622,0.11614439239625152,0.5831595734556475,1.0843142451850165,1.0517241379310345
113,203,0.7947831108951058,0.29557090916338385,0.8063688848981961,0.1308472839956594,0.10089942471786516,0.11143730307845036,0.2937196040273937,0.15787949507573726,1.2436766026627355,1.9819298766601618,1.1083743842364533
114,203,0.8004023458759593,0.5171984795297242,0.8775687200166673,0.1764027631011556,0.12188568985508107,0.11609629904136916,0.2655720739425501,0.12044551993580332,0.7083443866212069,1.3279463129090827,1.0467980295566504
115,203,0.8007785101083221,0.3825787823500126,0.8676044598151166,0.1411236515264397,0.11214632071366863,0.11496026789178185,0.28855582125182266,0.14399244872460942,1.059118432723983,1.7447952494037011,1.0591133004926108
116,203,0.8143482581055863,0.23464734756646902,0.7948549021196383,0.11320659384309792,0.1015875144099709,0.10965581952361779,0.3190453426940306,0.1708529876348691,1.5727187938237643,2.3293787978652363,1.0098522167487685
117,203,0.8007235988162298,0.2791793323149448,0.8204625475727184,0.11713884809418625,0.10277924834224951,0.11289665119128227,0.30714481706624003,0.1607640341222716,1.4307626202433537,2.1741839110844774,1.0985221674876848
118,203,0.7939058494328423,0.2575743198371585,0.8117999454626059,0.11041008263522127,0.10238732048817271,0.10870169142871267,0.3101185738562166,0.16228818102451886,1.5295360150265729,2.2664612433777456,1.0098522167487685
119,203,0.7723664196558764,0.6747032283594703,0.889353261128817,0.16201838259339882,0.1531763458042571,0.11041257385383585,0.25411138774260567,0.09264772966177888,0.5955415102946544,1.1383631164217858,1.1206896551724137
120,203,0.790031123133538,0.7493353461786008,0.8432049544661243,0.15870960681309138,0.16507508689465433,0.13127206761754892,0.2516659244403679,0.08330843736787547,0.5481474088899223,1.078192601522109,1.5295566502463054
121,203,0.8155140769069256,0.4077894812148797,0.7942347069353977,0.1165889080525866,0.11945632519079802,0.14392430497246,0.29750171692915944,0.13804282176192137,1.2160951367144706,1.8846700885363914,2.2561576354679804
122,203,0.8411365504315029,0.6954074091959206,0.853029996546338,0.16727626580726165,0.17914175123241868,0.12370479291396484,0.27167996587509124,0.09933377460276649,0.6316392406263105,1.1281303104687448,1.4655172413793103
123,203,0.851294656626802,0.5518774517488205,0.7109339721641084,0.12967879563118376,0.12233447954457623,0.20276201057191076,0.28281906300059734,0.11370030787853405,0.9108279204840237,1.6181009788431528,4.559113300492611
124,203,0.8614882265937347,0.6407420331712785,0.6963512834053749,0.12621220095517693,0.13405730206602454,0.21776592126550348,0.28441623196600024,0.09903657034102953,0.823127709312572,1.545675852608111,4.780788177339901
125,203,0.7630876036578005,0.42704852392358406,0.801827061772901,0.11188854366431268,0.1286058088101428,0.11696430800159403,0.275897269966065,0.129731673215686,1.2337961738570453,1.7718210330177462,1.9975369458128078
126,203,0.7833725778907586,0.38432983280897226,0.8625189304270395,0.1311019648718996,0.11467728501640224,0.10747576655099152,0.2931958298149186,0.13692173163654672,1.116830234881258,1.8262218326101054,1.041871921182266
127,203,0.8286883072003051,0.41629310177366313,0.8198800384168125,0.126664152279544,0.11875856263257538,0.1445264189261831,0.29703664968386406,0.14170252367813857,1.168594410080608,1.8413376168688167,1.706896551724138
128,203,0.7729868831536104,0.31092755245551545,0.8109623233871618,0.10442773734674966,0.10409608642695978,0.121852599274506,0.29363901099515616,0.14897144911023893,1.4866296116702582,2.1848702515637797,1.5049261083743843
129,203,0.7687729465654682,0.2468910916427127,0.778203084703367,0.09388370160408649,0.09767364273476667,0.11572862460800043,0.30394472020094765,0.15754225741766695,1.7290187607958898,2.455748957989516,1.4556650246305418
130,203,0.6814146452975774,0.26376333495879006,0.7936494807269289,0.08488460594367044,0.08874821726311165,0.10347478170641757,0.2667940583772269,0.13751298200715104,1.6819657229094194,2.3874342487083977,1.5
131,203,0.7842964177722669,0.2411819871628994,0.7635627607569159,0.09499475079179089,0.09865784926791062,0.12013700740093577,0.3076197766635574,0.1628870336480723,1.7616943026577578,2.471487731801068,1.6773399014778325
132,203,0.8110993377241674,0.39722459116972986,0.8666891354046146,0.14398969361247654,0.1118512365651505,0.12283137264539144,0.2884737227054459,0.14395331219570293,1.0348017920800363,1.7263479367460166,1.1527093596059113
133,203,0.8580563659303212,0.39008048343797325,0.8224664052165649,0.12842296781680937,0.12190448383652552,0.1446034912288998,0.3119384566879498,0.15118696636013684,1.2236591309934814,1.8996801889787764,1.7389162561576355
