parcel,x,y,z,tau_fmri,spectral_exp,alff,falff,rho_fmri,coverage,n_subjects
34,-36.09271523178808,-24.066225165562912,9.867549668874176,3.63656909007109,-0.7628087480834835,3.447418780906411,0.9065123321394366,0.5759520090597895,1.0,200
35,-38.30830039525691,-9.13833992094861,12.77470355731225,3.737003561246975,-0.8894901679158849,3.4782193573617595,0.9152758372680663,0.5717430180167135,1.0,200
36,-35.662790697674424,-26.29069767441861,18.930232558139537,3.959274773922666,-0.9340196681999192,3.427279350457634,0.9005073186351047,0.5702335324704534,1.0,200
37,-58.59016393442624,-37.00327868852459,15.67213114754098,4.083695818256974,-1.1367465409534714,3.526893444566137,0.9247128666908075,0.560014054406778,1.0,200
38,-41.14285714285714,-34.94581280788178,14.266009852216754,4.1094394529946365,-1.0945159948308436,3.499606261921376,0.9204050664177846,0.5624063929903802,1.0,200
39,-48.686192468619254,-12.887029288702934,14.158995815899587,4.199272059752569,-1.0790405015818074,3.448190682135857,0.913248060551192,0.5612030338046378,1.0,200
40,-59.551724137931046,-2.3448275862068897,11.267241379310349,4.118480035736401,-1.092380342295415,3.5044393455413,0.922289586693669,0.5606597236088381,1.0,200
41,-48.11538461538461,-24.15384615384616,17.82692307692308,4.069785244999285,-1.0102452983863979,3.428501777096558,0.9070823427133189,0.5658548473334705,1.0,200
42,-60.92385786802029,-17.492385786802032,19.461928934010146,4.37975182806626,-1.1333550559481589,3.42200006842109,0.918976278822381,0.5591568716384735,1.0,200
43,-59.23549488054607,-2.232081911262796,23.74744027303754,4.071323259865386,-0.931934738887202,3.41607293913328,0.9008699099673394,0.5700029740059704,1.0,200
44,-62.4321608040201,-10.291457286432163,31.165829145728637,4.344265332607903,-1.1446319711516377,3.4516670341947036,0.9201521955529234,0.5589337935292598,1.0,200
45,-53.22279792746113,-8.974093264248708,30.0,4.180001085702107,-1.0719067191147758,3.4729767596330605,0.9143959188862297,0.5636014632309972,1.0,200
46,-54.83422459893049,-19.807486631016047,40.705882352941174,4.308281886144925,-1.1510544179229159,3.4698099814655334,0.9210182452689771,0.5594871372771008,1.0,200
47,-50.88079470198676,-6.814569536423846,43.11258278145695,4.180121371612068,-1.0850918672174457,3.4706976527545113,0.9155316533035048,0.5617005746557268,1.0,200
48,-47.98830409356725,-16.292397660818708,40.18713450292398,4.310566219116119,-1.152744897747209,3.4424296795190257,0.9256832769156941,0.5552976800207072,1.0,200
49,-7.874213836477992,-15.289308176100633,46.89937106918239,4.182879407393458,-1.0599313496648413,3.431494029573605,0.91198134109545,0.5632481617906016,1.0,200
50,-40.984771573604064,-14.345177664974614,47.97969543147208,4.148459379442677,-1.0451362827230775,3.4761876062746655,0.9088602944765353,0.5660059329589526,1.0,200
51,-48.71428571428572,-17.38095238095238,54.2,3.7611433429809527,-0.8301997212731883,3.393561667501963,0.8862157685807999,0.5759753439589085,0.995,200
52,-47.30459770114942,-29.591954022988503,58.19540229885058,4.184161634318768,-1.0276083121198483,3.4136232530494897,0.9095891484276059,0.5633950009677571,0.99,200
53,-39.184,-24.784000000000006,52.879999999999995,4.219490498530149,-1.1264551582305031,3.4564252160434874,0.9216842569628404,0.557062239779313,0.995,200
54,-8.59420289855072,-37.53623188405797,53.53623188405797,4.402703988883325,-1.186890149769856,3.4385499736650416,0.9240394978707762,0.5541315052758778,0.99,200
55,-4.299065420560751,-24.785046728971963,56.19626168224298,4.498716093712184,-1.1973432903063295,3.368975744496971,0.922111773229173,0.5549482411472597,0.995,200
56,-3.898916967509024,-8.628158844765338,59.09747292418771,4.481758529226983,-1.1155435154147078,3.340542703216927,0.9145595228843524,0.5600224653126866,1.0,200
57,-34.51680672268908,-18.277310924369743,63.64285714285714,3.9739335587676643,-0.8391186903387686,3.3174033430358363,0.8872819631493659,0.5734253316346233,0.995,200
58,-30.15789473684211,-46.29824561403508,62.71345029239765,4.388240935690306,-1.0519864681417226,3.348576499401425,0.9112033770993518,0.5618475350277413,0.955,200
59,-32.0530303030303,-28.939393939393938,62.151515151515156,4.183834720133983,-1.0017487493416946,3.382787097305126,0.9053593790210576,0.566879732716528,0.99,200
60,-29.821561338289968,-38.25278810408922,64.84758364312268,4.474337883691587,-1.0952656230284514,3.334141750029002,0.9196625393830777,0.5583353624648271,0.97,200
61,-23.520215633423177,-10.700808625336933,64.88948787061994,4.310500234720808,-0.9769789361581337,3.3255960669945144,0.9052508239192827,0.5661793628520326,0.99,200
62,-19.27407407407408,-24.251851851851853,66.47407407407408,3.9239774622514716,-0.8747354519543197,3.37470244320177,0.8911909162659784,0.5695645390576228,0.985,200
63,-8.40425531914893,-41.65957446808511,70.18439716312056,4.20898769104429,-1.07242894155608,3.4139018500071843,0.9159038581368012,0.5584317532946577,0.88,200
64,-4.02873563218391,-25.741379310344826,68.56896551724137,4.443847137756868,-1.0979221850601946,3.3498127184912745,0.9176085590852124,0.560525682283301,0.985,200
65,-14.224215246636774,-11.228699551569505,72.2152466367713,4.418744716453595,-1.0918629037121654,3.362312899212547,0.9108337830497769,0.5620683940545897,0.99,200
66,-18.456521739130437,-30.985507246376812,68.70289855072463,3.9184556005908133,-0.8625189504036325,3.3593720821558457,0.8919505446363961,0.5723652255688564,0.965,200
67,-19.00769230769231,-39.98461538461538,71.76153846153846,4.167562487116562,-0.9483359122523313,3.3380970404386883,0.9044235220311169,0.5665144952501733,0.815,200
68,-11.857142857142861,-26.76785714285714,73.26785714285714,3.719893477572833,-0.7819455359346069,3.3952108629190962,0.8851422207242364,0.5752185925222233,0.88,200
69,-44.94214876033058,-42.29752066115702,-21.294765840220386,3.411862270990323,-0.499558906739825,3.3040002024291835,0.8520596886992123,0.5882947105747015,1.0,200
70,-48.72222222222223,-55.66666666666667,-15.54248366013072,3.0450932649633318,-0.28272730780667715,3.2965338865141787,0.8389132133038081,0.5982729582093907,1.0,200
71,-55.10088495575221,-61.68495575221239,-0.6796460176991133,3.099814570777137,-0.34821050748221544,3.285558186254276,0.84044396663631,0.5950055990623885,1.0,200
72,-47.87428571428572,-65.33714285714285,14.925714285714292,3.3059561358090157,-0.45334950443938515,3.318111308413062,0.8551675324358389,0.5884250396777151,1.0,200
73,-26.379746835443044,-70.12658227848101,30.405063291139243,4.055657906817571,-0.9807053749937323,3.4495716468622284,0.9051081885775716,0.5672350402975317,0.98,200
74,-54.8116883116883,-31.298701298701303,44.40909090909091,3.384239049321039,-0.5431096630901824,3.326958194071657,0.8587274227079393,0.5872010646814195,1.0,200
75,-22.72,-65.512,46.42400000000001,4.251655507586196,-1.1509126328022492,3.4742824107654613,0.9234780207573022,0.5589355591056893,0.955,200
76,-46.2415458937198,-29.101449275362313,43.78743961352657,4.401841794447696,-1.1830412060531648,3.45487029479275,0.9218254904376231,0.5571691221056692,1.0,200
77,-33.113725490196074,-46.49411764705883,40.87058823529412,3.6517946399908343,-0.7165658235648102,3.3654595281997994,0.8767010775528757,0.5792672717522364,0.995,200
78,-28.721518987341767,-58.037974683544306,50.56962025316456,4.424287740178082,-1.2156128059013038,3.462111035540317,0.9241975229515548,0.5554490620070962,0.925,200
79,-38.968421052631584,-37.53684210526316,49.77543859649123,3.6714505389236054,-0.7061123017760619,3.3515570497511145,0.8750127411348305,0.5799978012606577,1.0,200
80,-35.85645933014354,-51.827751196172244,56.02870813397129,3.3107743560700142,-0.5275768162607083,3.376320518929231,0.8647435458997105,0.5870516214089804,0.94,200
81,-14.918781725888323,-71.13197969543148,57.03553299492387,3.131525515223725,-0.3759300664073158,3.3326466930666343,0.8447104405659684,0.5929757501861254,0.725,200
82,-28.211538461538467,-61.19230769230769,62.326923076923066,3.471479892105789,-0.6128437749282046,3.3635182011682945,0.8657744504701864,0.5824334044820436,0.65,200
83,-7.393728222996515,-58.46689895470384,63.12891986062718,3.421725994927305,-0.5646225280995293,3.3067533464382426,0.8585426283043841,0.5862965626828192,0.715,200
84,-19.710914454277287,-56.48377581120944,66.2772861356932,3.724562673582801,-0.7334670531716307,3.343037142348388,0.8760067982998834,0.5771402940010606,0.67,200
85,-12.939130434782612,-50.59130434782608,71.58260869565217,3.9115880260273284,-0.9741994105107329,3.4457477448045566,0.9109425830681591,0.5653702886722822,0.48,200
86,-40.33009708737865,-2.3430420711974165,51.26860841423948,4.018912768975802,-0.9438370825793543,3.419870048120777,0.9140515213965225,0.5662188634128819,1.0,200
87,-25.723163841807903,-0.47457627118643586,55.158192090395474,3.9754739379344834,-0.9799425721876505,3.468267518516718,0.9119470415366129,0.566847537197502,1.0,200
88,-30.021390374331546,-8.021390374331546,51.71122994652407,4.281165953893316,-1.014394518949791,3.360197517379788,0.9165320365474773,0.5622854884090587,1.0,200
89,-21.214750542299356,5.149674620390442,64.02169197396964,4.292275828041983,-1.0766696190104001,3.4059281588895187,0.916424528163654,0.5605683442967901,1.0,200
90,-49.44736842105263,6.03947368421052,25.618421052631575,4.210680138003276,-1.1047278146044655,3.474424393048896,0.9194486295269111,0.5605494668628457,1.0,200
91,-49.96981132075473,2.633962264150938,37.97735849056603,4.29336746839005,-1.1616103642584308,3.4707021742972604,0.9225613261972174,0.5584483175192005,1.0,200
92,-54.63959390862945,-31.974619289340097,22.223350253807112,3.3712536784235385,-0.546965112891892,3.3610340083825685,0.8638789148223825,0.5869328510673797,1.0,200
93,-58.00714285714287,-44.192857142857136,27.307142857142864,4.021112848423252,-0.9620566361317389,3.4209742252439996,0.9036836317811546,0.5691044162284092,1.0,200
94,-61.354368932038824,-23.262135922330103,32.76699029126213,3.4406916405282892,-0.557496054077031,3.345162820758808,0.8621677523276696,0.5854358042620108,1.0,200
95,-61.16438356164383,-36.07534246575342,33.31506849315069,3.4150383084369302,-0.5754579305451554,3.3515274833016107,0.8574913905938304,0.5854428135059105,1.0,200
96,-56.61325966850828,-53.70718232044199,9.988950276243088,3.7267712776512356,-0.756543835665137,3.402531450945503,0.8840621872639902,0.5790547288769003,1.0,200
97,-44.17910447761193,5.298507462686558,-16.21641791044776,3.6858761160512024,-0.8080020770001712,3.4179364376391868,0.9024155338724417,0.5766274082338214,1.0,200
98,-38.73596673596674,1.92515592515592,-4.615384615384613,3.554763458924685,-0.6901409739625105,3.37646081473209,0.89127490871708,0.5809629667084331,1.0,200
99,-32.908212560386474,24.57004830917873,-0.8405797101449224,3.7290630753362257,-0.8550971314875558,3.4580551250279497,0.9057857427123779,0.5733654099703415,1.0,200
100,-39.7913043478261,-14.365217391304341,-1.7478260869565219,3.635970690751924,-0.7303745740767336,3.369450410168538,0.890693514225805,0.5771133997005378,1.0,200
101,-32.988142292490124,19.162055335968375,8.158102766798422,3.5506496745240437,-0.6246155171695384,3.3806586747187657,0.8879104579753601,0.5824312951590727,1.0,200
102,-36.48175182481752,4.394160583941613,10.68613138686132,3.68710961694003,-0.7091577661743397,3.3493287013957227,0.8829839495395133,0.5796198830444235,1.0,200
103,-43.34969325153375,11.926380368098165,2.2944785276073674,4.08574588692434,-1.0467383292991703,3.4692318834222933,0.9164081544345344,0.5639265092818737,1.0,200
104,-50.478764478764475,1.4980694980694977,4.355212355212359,4.308347636996131,-1.097133032203292,3.4069138243276806,0.9175527886460944,0.5611064248504141,1.0,200
105,-52.074074074074076,8.666666666666657,13.345679012345684,3.6084288396364617,-0.856236179672198,3.474651627518781,0.9106412284387687,0.5709079053072827,1.0,200
106,-28.941176470588232,43.30365659777425,29.545310015898252,4.386564334372664,-0.7142345812408726,3.1358131552693873,0.8938117452816162,0.5721023300817895,1.0,200
107,-5.9537275064267305,21.80462724935734,31.136246786632384,4.18574597229665,-1.0471318677986075,3.4170724647611554,0.9223769473128935,0.5591026154246522,1.0,200
108,-6.493702770780857,0.8060453400503746,40.54911838790932,4.156053362646702,-1.1554959952048018,3.5050302439384455,0.9248594280917913,0.5560249640557385,1.0,200
109,-10.99638989169675,-27.37906137184116,41.12635379061372,4.264215236732129,-1.0775981095774545,3.3911357074808266,0.9195669024234637,0.5580716101781552,1.0,200
110,-5.310704960835508,9.300261096605738,48.38120104438643,4.188038747646214,-1.090980729381869,3.4310298718414867,0.9201492968421354,0.5578113455816947,1.0,200
111,-12.57309941520468,-41.45029239766082,47.30994152046783,3.9967995948865362,-0.9832515280259938,3.401335096972514,0.9034142110772991,0.5638459124329321,0.995,200
112,-5.844961240310084,-49.116279069767444,57.01550387596899,4.455596859111861,-1.1292475027994298,3.384613447105405,0.9199548341478204,0.5581089711314774,0.955,200
113,-8.485436893203882,-2.679611650485441,70.90291262135923,3.3520617214505903,-0.4284794421169863,3.241715601260694,0.8453551758826342,0.5928174892607011,0.99,200
114,-12.370860927152322,24.264900662251648,-20.456953642384107,3.7198145018916726,-0.6678225393359438,3.313372530847889,0.8701695346766415,0.5824938832054628,0.995,200
115,-23.5645472061657,22.42389210019269,-19.69556840077071,3.202429875918601,-0.45723944996938287,3.355637196546967,0.8544959231189978,0.5928230141499986,0.995,200
116,-10.587479935794548,47.32263242375603,-21.335473515248793,3.2855401712757075,-0.4020656619936044,3.266194631165348,0.8488453061135945,0.5926926036093322,0.995,200
117,-3.9061728395061692,23.3432098765432,-18.874074074074073,4.077905347253177,-0.9594775557002949,3.4376008259488224,0.9002186418557849,0.5709950752655087,0.995,200
118,-15.441758241758237,64.34725274725275,-8.470329670329669,3.6463723420561216,-0.7542002319040247,3.381864615266437,0.8872815249400883,0.5787035434786196,0.995,200
119,-37.44701986754967,-5.460264900662253,-42.33443708609272,3.4946819665993525,-0.6245131734761488,3.339551297788856,0.8736330563514368,0.5823499345492753,0.995,200
120,-25.1328320802005,5.809523809523796,-38.285714285714285,3.5814883529483645,-0.7499171463716989,3.399220086564521,0.8862212204776149,0.5757830261952189,0.995,200
121,-25.638036809815958,-8.969325153374228,-32.576687116564415,3.6776369016089,-0.7435573850573499,3.3545522321672414,0.8777885468459546,0.5778797319379442,0.995,200
122,-53.84516129032258,-21.380645161290317,-31.427956989247313,3.955632658332403,-1.0169034251680549,3.4871246943858063,0.912134929001992,0.5645018329418025,0.995,200
123,-40.101010101010104,-21.848484848484844,-26.575757575757578,3.494042843977667,-0.5908420846482948,3.344936640430254,0.8594254797401873,0.5864361210705072,1.0,200
124,-43.29442282749676,12.933852140077818,-33.32555123216602,3.4617566293664574,-0.5832626761612121,3.3451951693959145,0.8673896604527183,0.5861705313053847,0.995,200
125,-31.47099767981439,11.494199535962878,-29.415313225058007,3.682094990779904,-0.7863746346714003,3.4416023742133697,0.8913653625630422,0.5753752626003559,0.995,200
126,-21.044334975369452,-20.689655172413794,-25.61576354679803,3.027625592832073,-0.2612821237546537,3.2791111807056517,0.832692889149481,0.5974647855112621,1.0,200
127,-28.807272727272732,-74.18909090909091,42.29818181818182,3.052810841101537,-0.32960176405138936,3.319659442170091,0.8371915683487772,0.5976627519102146,0.94,200
128,-58.321608040201,-41.59798994974874,45.55778894472361,3.1143293687373443,-0.39484629627407436,3.338909729788239,0.8490300187771027,0.5944759544159889,0.99,200
129,-53.21794871794873,-49.61538461538461,44.82051282051282,3.5125739945630077,-0.5951666900954334,3.3685844796035016,0.8648900228383402,0.5834272921718584,0.995,200
130,-34.42011834319527,-62.10059171597633,47.88165680473372,3.464782671980755,-0.567710763736948,3.3548952929445752,0.863018052116894,0.5843452474004799,0.97,200
131,-42.102564102564116,-52.17948717948718,48.641025641025635,4.175206162979173,-1.062559202814968,3.455683681487962,0.9132384184633263,0.5633559847837233,0.975,200
132,-44.991044776119395,-41.343283582089555,46.74029850746268,3.1108679065738345,-0.3158562064237212,3.2858228034997006,0.8371942832793924,0.5965604416066013,1.0,200
133,-60.484693877551024,-48.86734693877551,-9.73979591836735,3.8184911882108823,-0.7769867090628381,3.3916812748390663,0.8829362754682343,0.5777164522595205,1.0,200
134,-27.05202312138728,49.28323699421966,-13.739884393063583,4.189361984543987,-0.9795335711494803,3.374987531471635,0.9062637775622228,0.5677822890300153,0.995,200
135,-41.88550983899822,49.116279069767444,-6.504472271914139,4.323506655542283,-1.0699539356754775,3.3974831464003152,0.914817409036457,0.5621197870926893,1.0,200
136,-47.87335092348286,35.05540897097626,10.474934036939317,4.161250660968504,-0.9571072421506731,3.3803581334775354,0.9055822246587417,0.5668235371350702,1.0,200
137,-38.19166666666666,49.05000000000001,11.00833333333334,3.643007837847751,-0.8241310102545755,3.4676574546699954,0.908429017772124,0.5743894284126551,1.0,200
138,-27.594936708860757,56.810126582278485,12.956962025316457,4.271357785785616,-1.122033893130171,3.441803022752049,0.9195092625773281,0.5598366908775418,1.0,200
139,-41.609403254972875,37.66003616636527,21.89150090415913,4.171534093024924,-1.105545098275568,3.452418167325476,0.9208424518325624,0.5591334470600555,1.0,200
140,-44.371584699453564,20.21311475409837,27.23770491803279,3.8545191988712704,-0.8880082090099676,3.411332526881266,0.9032600853267165,0.5682566466714121,1.0,200
141,-39.173553719008254,7.396694214876021,33.46280991735537,4.016335503394472,-1.0160773276518114,3.4889964005168803,0.9175122153443642,0.5647419066568794,1.0,200
142,-35.90954773869346,31.9748743718593,38.53768844221105,3.5631446491757925,-0.6535323166886166,3.3447787182743385,0.8749413327899761,0.5837702615176239,1.0,200
143,-33.392405063291136,16.468354430379748,-8.34177215189873,3.209726596455782,-0.4590157346891286,3.3393681020708073,0.8543857345011142,0.5917323566258205,1.0,200
144,-9.07352941176471,-77.08088235294117,45.330882352941174,3.695117691463984,-0.7688729892383233,3.380569239499267,0.8824012928599279,0.573814884654488,0.81,200
145,-4.955555555555549,-63.837037037037035,51.970370370370375,3.810073485840489,-0.7716648723458247,3.329213211744378,0.9014526714358586,0.5716463499182036,0.875,200
146,-3.3013698630137043,6.3835616438356055,28.534246575342465,4.2022402360889695,-1.2218849188268652,3.5368563854815225,0.9289199022425825,0.554467977704126,1.0,200
147,-4.063999999999993,-21.695999999999998,28.944000000000003,4.364981038599523,-1.050787777276714,3.362599114480079,0.9197578424489873,0.5593210371779386,1.0,200
148,-3.7149122807017534,28.070175438596493,47.118421052631575,3.5360575364981526,-0.682386851612213,3.3432488482097096,0.8682784578209793,0.5821456213083938,1.0,200
149,-53.94862385321102,-1.6366972477064223,-29.343119266055048,3.6474583657600905,-0.7030400877553996,3.3776258363663816,0.8743911553021578,0.5804421065241646,0.995,200
150,-61.53881278538813,-17.593607305936075,-20.470319634703195,3.3684179010598165,-0.5278631870264751,3.3396304252188287,0.8532021094688861,0.5876469682480331,1.0,200
151,-60.17712177121771,-36.37638376383764,-18.140221402214024,4.079638526689417,-0.971573114350109,3.4370790467701084,0.9039791510356305,0.5682492938910232,1.0,200
152,-57.0059171597633,-8.911242603550292,-13.869822485207102,4.071586657279394,-0.9893975108785734,3.466158808795376,0.9049855372730317,0.5692643629482881,1.0,200
