parcel_name,tau,tau_r2,rho,rho_max,x,y,z,network,hierarchy,hemi
7Networks_LH_Vis_13-lh,21.189031021338092,0.899432616934643,0.5693001230742061,0.9744435576722681,-15.544132206924518,-45.04778216362825,-4.190698164233166,Vis,1,lh
7Networks_LH_Vis_14-lh,16.5959877789189,0.8170647028614836,0.5885673905509142,0.9774491194465483,-38.223451123024255,-85.44266116274684,-5.456915927511275,Vis,1,lh
7Networks_LH_Vis_15-lh,25.5467562271656,0.8194878599044644,0.5860676113682655,0.977286548178789,-11.531171991606374,-96.57647390981134,-3.0718975917166405,Vis,1,lh
7Networks_LH_Vis_16-lh,20.391549150013198,0.8415948821999821,0.5718484329474429,0.9748761111295644,-16.95543139935586,-58.72304243446171,-0.10791152992408279,Vis,1,lh
7Networks_LH_Vis_17-lh,14.520637631625958,0.8830515726817337,0.5797172840986922,0.9764312238980046,-42.509967387833406,-72.48143537547261,1.7885814928492918,Vis,1,lh
7Networks_LH_Vis_18-lh,32.956902101804964,0.8186351311641274,0.5784618544916054,0.9763405399058258,-8.705984785230559,-87.75338412994898,3.8500763232362267,Vis,1,lh
7Networks_LH_Vis_19-lh,31.781643974568674,0.8211608529071949,0.5788352647812697,0.9760690677579356,-24.833119100336223,-93.11056962395286,3.4931407443234597,Vis,1,lh
7Networks_LH_Vis_2-lh,23.942963427555625,0.9081906561486699,0.5726982183018099,0.9754467409146446,-32.35818239356246,-34.64806423687266,-17.09845192011139,Vis,1,lh
7Networks_LH_Vis_20-lh,19.77045561262752,0.8671907808998894,0.5692903401815544,0.9743396518571403,-15.007232462189027,-50.8632948508068,4.832464175672854,Vis,1,lh
7Networks_LH_Vis_21-lh,30.411493794840062,0.8212414477747072,0.5725473863125657,0.9751634001122146,-11.15208075559735,-76.13221531385904,7.979047428407184,Vis,1,lh
7Networks_LH_Vis_22-lh,19.84930447614763,0.823967330617528,0.5722128180834304,0.9748791634098791,-22.283446853304042,-66.55238282830356,6.504356160671477,Vis,1,lh
7Networks_LH_Vis_23-lh,22.008423167544315,0.831194384040732,0.576055871069394,0.9756213243092491,-37.42996851015605,-81.68026867599768,9.872763125888403,Vis,1,lh
7Networks_LH_Vis_24-lh,29.71299617076732,0.8230018434512766,0.5773452309249667,0.9759039645506988,-14.44325272358306,-95.80447243422455,14.090348853619757,Vis,1,lh
7Networks_LH_Vis_25-lh,37.24317987348744,0.7854499931786905,0.5713615446445559,0.9746794437295172,-5.8111221931251205,-84.342577341459,22.62707833781604,Vis,1,lh
7Networks_LH_Vis_26-lh,29.444635960960973,0.81214778657431,0.5691211649947238,0.9743610298338469,-14.81314727800778,-72.12093964695765,18.588559115266683,Vis,1,lh
