band,parcel_idx,parcel_name,tau_mean,tau_median,tau_std,tau_count,rho_mean,rho_median,rho_std,tau_exp_r2_mean,rho_r2_mean,ts_var_mean
betahigh,82,rh.17Networks_17-4,0.194534988833677,0.19384854176692007,0.011611727068615125,267,0.6436956587272212,0.6427000430441834,0.012898841387147591,0.9167329910633316,0.9995239470150831,1.0
betahigh,83,rh.17Networks_17-9,0.1913921605906153,0.18993610186786453,0.012000487893171447,267,0.6430152580707715,0.6430479476740414,0.015206945103706673,0.9237757239846113,0.9995191905707868,1.0
betahigh,84,rh.17Networks_17-7,0.18679677199438594,0.18507503919493273,0.010463350238079561,267,0.6418915677247681,0.6415155723049619,0.014134691645314864,0.9284184702013017,0.9994262542985205,1.0
betahigh,85,rh.17Networks_15-3,0.19788817621525237,0.19806041814393147,0.011394241584604796,267,0.650626414327526,0.6482659670117602,0.01945640547747581,0.9237440779208206,0.9995869091382119,1.0
betahigh,86,rh.17Networks_15-2,0.19082520456142432,0.18998994732879704,0.010081549513376031,267,0.6457689984246107,0.6453526483664459,0.015019232236214902,0.9278901826941534,0.999486225764565,1.0
betahigh,87,rh.17Networks_15-6,0.19974224405535607,0.200724035492552,0.011758767940082638,267,0.6509296110757332,0.6497413725916672,0.022450826035743027,0.9144307581886374,0.9996356493863667,1.0
betahigh,88,rh.17Networks_1-1,0.20389454997005785,0.20573395008158424,0.012608144217617849,267,0.6408319438126066,0.6472744436543177,0.04595501150142796,0.8835054309637423,0.9996691544619148,1.0
betahigh,89,rh.17Networks_4-2,0.2037843586417753,0.202456615109057,0.012772534388967208,267,0.6481045352189979,0.6473331050847303,0.0230929922720487,0.8219304144513904,0.9996508650061778,1.0
betahigh,90,rh.17Networks_9-1,0.19031719097572117,0.18892405611793434,0.010904434956562835,267,0.6418263175494584,0.641451547680581,0.011091386974013025,0.9277149325732322,0.9994484963003559,1.0
betahigh,91,rh.17Networks_11-3,0.2024049566551101,0.2014477447925364,0.0129985447385946,267,0.6480775899053975,0.6467256461898214,0.014336568801724767,0.8582589976563423,0.999641802882359,1.0
betahigh,92,rh.17Networks_11-5,0.20315522071157188,0.20204271890231684,0.013282667743955227,267,0.6491997157298375,0.6482271561572526,0.014867563679972502,0.8423874055378346,0.9996633746515198,1.0
betahigh,93,rh.17Networks_11-2,0.20552741508326966,0.20714785231570407,0.012966977330357485,267,0.6486724487787786,0.647342454837083,0.02257539336142728,0.8484735438705173,0.9996668083453224,1.0
betahigh,94,rh.17Networks_3-1,0.21721708196560188,0.21564523576745556,0.013550754648494928,267,0.640407853489591,0.6471836471242677,0.04428730387207746,0.08767573036239569,0.9997848431641688,1.0
betahigh,95,rh.17Networks_3-3,0.19734873583641968,0.19597716141246752,0.011497658581373551,267,0.6507860974505136,0.650552288359484,0.016911391442512885,0.907063711340149,0.9995901388479417,1.0
betahigh,96,rh.17Networks_8-2,0.19055033569561985,0.1894606556969567,0.011579680708484762,267,0.6433075675920892,0.6423197307731962,0.011567068588691047,0.9248116418053713,0.9995053358884085,1.0
betahigh,97,rh.17Networks_8-3,0.19971437482518314,0.20030720281060155,0.01370981737572163,267,0.6469005680945842,0.6454943959084953,0.015428702075836865,0.875650750140044,0.9996285239421618,1.0
betahigh,98,rh.17Networks_8-11,0.2033516662490077,0.20255021612169277,0.013189985692860125,267,0.6491344573931072,0.6484105092891994,0.01518987727156141,0.8427119348587966,0.9996610068318579,1.0
betahigh,99,rh.17Networks_8-7,0.2033905249978275,0.20358913778952226,0.011832643065372326,267,0.6488579116652512,0.651060054999842,0.03247488830122075,0.8731581579420371,0.9996721228992168,1.0
betahigh,100,rh.17Networks_8-1,0.19127255068320956,0.19075576688382295,0.011788139323863732,267,0.6435531751540804,0.6439431020719312,0.014723349385632495,0.9247950601892032,0.9995189911392794,1.0
betahigh,101,rh.17Networks_7-3,0.20877580509291688,0.20771697290822122,0.014055328618106187,267,0.6472698753934801,0.6450975167192874,0.015352815354584222,0.6508343975267631,0.9997116241095984,1.0
