resolution,parcel_idx,rho,r2,label,hemi,network,x,y,z,PVALB,SST,VIP,GAD1,GAD2,PV_minus_SST
400,274,0.5937055370258466,0.9999295877331034,7Networks_RH_DorsAttn_Post_11-rh,rh,DorsAttn,33.524815552374896,-47.94944888703964,41.1034790207358,0.6969513731365992,0.5874009965469109,0.4612184595481656,0.6836739262082991,0.38559339686769023,-0.03688835660474937
400,275,0.5945490517989909,0.9999194058680094,7Networks_RH_DorsAttn_Post_12-rh,rh,DorsAttn,19.251976292190456,-66.94902267552264,50.07701479802366,0.7421808896436621,0.4303038080371131,0.4987005925382998,0.4433456662818063,0.20106018168184736,1.0660395562377554
400,276,0.5952110897944176,0.9999252316943676,7Networks_RH_DorsAttn_Post_13-rh,rh,DorsAttn,33.37628368430611,-39.10428724828372,46.32378680983373,,,,,,
400,277,0.5958351639814411,0.9999182225698048,7Networks_RH_DorsAttn_Post_14-rh,rh,DorsAttn,32.46562377660196,-52.07061060395514,49.57190646265659,0.6433486951415107,0.3122659341793656,0.545580291610672,0.45681493018697494,0.5225495927334146,1.2415810396468576
400,278,0.5976712048244249,0.9999080316026449,7Networks_RH_DorsAttn_Post_15-rh,rh,DorsAttn,6.615711579632885,-69.514271546751,51.981414178134266,0.7456094670590556,0.5144123058067649,0.60235306200077,0.4364896621489588,0.2648632878327727,0.6114894005642738
400,279,0.5962359953150822,0.9999146905832847,7Networks_RH_DorsAttn_Post_16-rh,rh,DorsAttn,25.68252445212056,-58.1057635309535,56.53086211464622,0.9513041844006629,0.6093845036028186,0.8128410560748303,0.670332968427816,0.5927520260066383,1.0907550139517894
400,280,0.5983495011420992,0.9999098369135068,7Networks_RH_DorsAttn_Post_17-rh,rh,DorsAttn,5.917152761611425,-54.19254711198761,58.621544873680094,0.7436699916222254,0.5287221162671027,0.5216937810563872,0.48667677884854554,0.5869663594408707,0.5217478361920801
400,281,0.5980464799053655,0.9999068534374328,7Networks_RH_DorsAttn_Post_18-rh,rh,DorsAttn,11.90911540499872,-63.07773404205382,63.018327955630426,0.7708689310592653,0.4763061734137491,0.2588634886388202,0.2773580690794819,0.3550510239482474,0.9492876271424315
400,282,0.5973359426384824,0.9999138909598488,7Networks_RH_DorsAttn_Post_19-rh,rh,DorsAttn,23.593890755899835,-50.32747355257527,63.883427716373056,0.6865261491345623,0.25908202618801024,0.821463673521577,0.8336460337676462,0.8058640092595792,1.7520042754732226
400,283,0.6067193761323988,0.999876073677098,7Networks_RH_DorsAttn_Post_2-rh,rh,DorsAttn,54.87458081135262,-57.92956979203933,-1.6242633325671365,0.7683574357887641,0.3837932580505365,0.6237012652528435,0.43464405219458724,0.5012321576883394,1.455452880909616
400,284,0.6026295338683475,0.9998867980806472,7Networks_RH_DorsAttn_Post_3-rh,rh,DorsAttn,48.45947062045222,-59.93395796876396,10.310884260313331,0.7849347914322684,0.6300910544013432,0.744402925420904,0.6469933402241148,0.5783577026470869,0.15652739503551893
400,285,0.5995520078862646,0.999894506175842,7Networks_RH_DorsAttn_Post_4-rh,rh,DorsAttn,40.541916154660846,-77.21403955577411,30.873190266859154,,,,,,
400,286,0.5942373670186635,0.999926124712086,7Networks_RH_DorsAttn_Post_5-rh,rh,DorsAttn,28.38978977378355,-65.32357463311712,32.141261043023626,0.6008624547971745,0.22104196024311018,0.605852547431894,0.5189255445466876,0.5541244638753737,1.5439341950001761
400,287,0.6013717362062742,0.9998941750524596,7Networks_RH_DorsAttn_Post_6-rh,rh,DorsAttn,52.8949711313053,-28.002365602765764,42.98658286114128,,,,,,
400,288,0.5969018927194732,0.999906910101497,7Networks_RH_DorsAttn_Post_7-rh,rh,DorsAttn,16.47575874889598,-75.87437212700938,45.44054128609452,0.7523445484798655,0.33816589767400074,0.33387698766071566,0.4416379706448547,0.4718842676074012,1.6324368678023373
400,289,0.5948792037900471,0.9999255740352712,7Networks_RH_DorsAttn_Post_8-rh,rh,DorsAttn,36.63401797503773,-41.28795124107683,38.286859454763245,0.8451742758171893,0.587764862476791,0.5687405943559429,0.5875961679560349,0.5684618563850932,0.6900029855799057
400,290,0.5948145515320441,0.9999249090432408,7Networks_RH_DorsAttn_Post_9-rh,rh,DorsAttn,40.97849275143211,-31.310590812225147,41.087894259436986,0.7070822770078742,0.6299394950554906,0.41289142449897837,0.39092910821291915,0.3944891049678053,-0.2254863178230309
400,291,0.5999743183677122,0.9999040131934798,7Networks_RH_DorsAttn_PrCv_1-rh,rh,DorsAttn,46.47460315626796,7.09831048766041,25.061566590108807,,,,,,
400,292,0.6044211804092888,0.9999035014107116,7Networks_RH_Limbic_OFC_1-rh,rh,Limbic,14.07984427417498,18.34913328941622,-21.006484159163243,0.7963753894287262,0.6462151784570428,0.41178976677200707,0.3273718652309757,0.2739751525122837,0.12241750616916158
400,293,0.6035015210490787,0.9999094579939908,7Networks_RH_Limbic_OFC_2-rh,rh,Limbic,23.775841848137453,20.96035031559541,-21.036142926855184,0.7973992173864958,0.3084316728444661,0.43071151191950335,0.5793687805098808,0.37799251117613397,2.0206611142357085
400,294,0.605080040138725,0.9999109981105804,7Networks_RH_Limbic_OFC_3-rh,rh,Limbic,8.748649224337296,40.3155188328824,-24.00032773577733,,,,,,
400,295,0.6032339783848546,0.9999162164200704,7Networks_RH_Limbic_OFC_4-rh,rh,Limbic,21.647665709591983,39.92307148622663,-19.1825046475014,,,,,,
400,296,0.607314038055904,0.9999016885811772,7Networks_RH_Limbic_OFC_5-rh,rh,Limbic,4.75263882353461,19.991875132865456,-21.278777542904283,0.7431399725877262,0.7575181411358353,0.328315127035459,0.3462831297030325,0.23176593064876277,-0.7632144039894279
400,297,0.6063749445919576,0.999891146717269,7Networks_RH_Limbic_OFC_6-rh,rh,Limbic,9.64704330301122,60.16479338558054,-14.816802146084886,0.6335092846491078,0.838514792453709,0.484937977485871,0.7496965252577728,0.4722223498449349,-1.75632625313954
400,298,0.6050310593156907,0.999901773668442,7Networks_RH_Limbic_TempPole_1-rh,rh,Limbic,29.57476182487297,-4.768859522915494,-38.516588140360106,0.6520792482969531,0.4970723093470597,0.7786495679616571,0.9616664012518558,0.7147900665674906,0.24871359148610303
400,299,0.6100340067575671,0.9998819161498343,7Networks_RH_Limbic_TempPole_2-rh,rh,Limbic,50.46374282550454,-11.901481811003816,-38.40162119668476,0.5354473907501723,0.6421089147435498,0.35949118003085423,0.3402715347520033,0.396901045102045,-1.1377596816614797
