parcel_idx,label,hemi,x,y,z,rho_mean,rho_std,n_subjects
98,7Networks_LH_Limbic_OFC_2-lh,lh,-23.89638536037197,21.985710938771565,-20.290748986126232,0.45086673228400465,0.015377342611090994,1093
99,7Networks_LH_Limbic_OFC_3-lh,lh,-10.873434260217609,43.48105623411096,-23.46935508130253,0.4724946973761926,0.014495393340201319,1093
100,7Networks_LH_Limbic_OFC_4-lh,lh,-3.754660211937337,20.102923882762088,-18.793292442756364,0.4536217457338502,0.014610824316339577,1093
101,7Networks_LH_Limbic_OFC_5-lh,lh,-16.13442856102314,62.18571597164117,-7.906560958747399,0.4686485801845759,0.013385755899343153,1093
102,7Networks_LH_Limbic_TempPole_1-lh,lh,-39.70239196528656,-7.127084286019371,-41.0033975718879,0.4523125820006452,0.015784602982320643,1093
103,7Networks_LH_Limbic_TempPole_2-lh,lh,-26.86821711989882,4.227945093631065,-38.74394536141904,0.4546694943006229,0.017228336964391383,1093
104,7Networks_LH_Limbic_TempPole_3-lh,lh,-26.731302960713705,-10.89095298608144,-33.499243920644126,0.4385643735777649,0.0202451092906395,1093
105,7Networks_LH_Limbic_TempPole_4-lh,lh,-51.7472156144016,-24.36365758002192,-32.80556341572594,0.42349225590180894,0.024809496672574153,1093
106,7Networks_LH_Limbic_TempPole_5-lh,lh,-40.06220527048464,-23.021770585466317,-26.49928586129789,0.45108580098815426,0.015049251910157305,1093
107,7Networks_LH_Limbic_TempPole_6-lh,lh,-47.4509777497353,8.622316963813343,-30.74130548409761,0.458786954028755,0.01596457289987911,1093
108,7Networks_LH_Limbic_TempPole_7-lh,lh,-33.55322896501292,7.815340258841119,-26.289559712617294,0.46273402281292914,0.01597554760986861,1093
109,7Networks_LH_Limbic_TempPole_8-lh,lh,-20.833664374048976,-22.47760446266105,-25.046339268410676,0.44353209113597236,0.014301663041929594,1093
110,7Networks_LH_SalVentAttn_FrOperIns_1-lh,lh,-44.27507714153524,-1.9691270553615543,-15.561208579821743,0.4549985820429956,0.017581175950970054,1093
111,7Networks_LH_SalVentAttn_FrOperIns_2-lh,lh,-39.97043976865537,0.595864837537787,-6.664366941782386,0.45151521883530066,0.01978642124533356,1093
112,7Networks_LH_SalVentAttn_FrOperIns_3-lh,lh,-32.39046696366935,26.02637937874629,-0.3362175469819842,0.44580054528879565,0.01767664825054651,1093
113,7Networks_LH_SalVentAttn_FrOperIns_4-lh,lh,-40.23415162386142,-16.420856948315397,-3.941731276541112,0.4794858999405083,0.013544955744002619,1093
114,7Networks_LH_SalVentAttn_FrOperIns_5-lh,lh,-32.974421531985506,19.40142974371862,7.906767452124393,0.4668974546880694,0.01556247502044181,1093
115,7Networks_LH_SalVentAttn_FrOperIns_6-lh,lh,-35.928958713498886,4.822265129268403,10.04293815226976,0.46519977301241117,0.016243939248352025,1093
116,7Networks_LH_SalVentAttn_FrOperIns_7-lh,lh,-44.15241681496928,12.027876529637284,1.954714645833276,0.48625320815677975,0.01078261623885348,1093
117,7Networks_LH_SalVentAttn_FrOperIns_8-lh,lh,-51.096116187164135,0.163706507318967,3.985929608473668,0.43905073034578335,0.02310917096737994,1093
118,7Networks_LH_SalVentAttn_FrOperIns_9-lh,lh,-51.86575559607135,8.562580772968525,12.651200385378376,0.4701136477186392,0.01547486335765937,1093
119,7Networks_LH_SalVentAttn_Med_1-lh,lh,-7.622988210197239,19.573154094349984,32.80045354014207,0.47620203983891024,0.0156202245162009,1093
120,7Networks_LH_SalVentAttn_Med_2-lh,lh,-6.89563837940768,0.8559452925412733,41.32250199355478,0.48039975711953053,0.013190963410625643,1093
121,7Networks_LH_SalVentAttn_Med_3-lh,lh,-12.766133691386171,-24.88988610920153,41.19620874906841,0.4714850997399001,0.015745303523573846,1093
122,7Networks_LH_SalVentAttn_Med_4-lh,lh,-7.273161498623826,8.181929967880901,46.825313479857456,0.4767534652547882,0.013612130599441295,1093
123,7Networks_LH_SalVentAttn_Med_5-lh,lh,-14.46428824674244,-39.05645511824771,45.86814254720214,0.45516231305808574,0.017932950545881905,1093
124,7Networks_LH_SalVentAttn_Med_6-lh,lh,-7.996972425284158,-47.905287310632026,56.66460163651948,0.47400889449612277,0.014444943215540861,1093
125,7Networks_LH_SalVentAttn_Med_7-lh,lh,-9.581735411692527,-4.7751348625948085,68.61623965108336,0.4872525408770617,0.010870296435858883,1093
126,7Networks_LH_SalVentAttn_PFCl_1-lh,lh,-30.43239820530984,39.53049867765039,25.725265998755937,0.42565029101889024,0.02200563615850114,1093
127,7Networks_LH_SalVentAttn_ParOper_1-lh,lh,-53.007303389158544,-35.49347277359816,21.68828773603565,0.4285404357956372,0.024193417456430326,1093
128,7Networks_LH_SalVentAttn_ParOper_2-lh,lh,-57.54926100154381,-45.50295204227253,25.69512326030408,0.41898000715905215,0.026880173354507205,1093
129,7Networks_LH_SalVentAttn_ParOper_3-lh,lh,-59.68074720102058,-24.800348331803395,30.209649454625765,0.41185441929796573,0.02429843253867839,1093
130,7Networks_LH_SalVentAttn_ParOper_4-lh,lh,-60.27880584389154,-37.42226658276985,34.42161412911912,0.4178018374602744,0.02411684675544439,1093
131,7Networks_LH_SalVentAttn_TempOcc_1-lh,lh,-53.62599159361529,-54.918923530160434,7.941994568516798,0.416724063851162,0.023804698477805485,1093
132,7Networks_LH_SomMot_1-lh,lh,-49.10716878647772,-13.393378912210798,0.4076897875755875,0.4319681812040483,0.025575562306635127,1093
133,7Networks_LH_SomMot_10-lh,lh,-48.60821804058589,-25.19058727096988,17.03619863844964,0.4505263245551396,0.019392276187383845,1093
134,7Networks_LH_SomMot_11-lh,lh,-60.038825685568085,-19.98567181373921,18.521731339629167,0.4191573457477575,0.028117055200344965,1093
135,7Networks_LH_SomMot_12-lh,lh,-58.84164334007316,-5.112528729102339,22.820865601232047,0.43826721508575134,0.020227579643382558,1093
136,7Networks_LH_SomMot_13-lh,lh,-62.35561814361916,-12.373987597159909,31.45366324088424,0.4256926753649226,0.024959149936290375,1093
137,7Networks_LH_SomMot_14-lh,lh,-50.190783267419775,-10.547492154242454,28.733875165413775,0.43453943873490225,0.022126690980284473,1093
138,7Networks_LH_SomMot_15-lh,lh,-53.3214094234946,-23.75585824414029,37.91048008757211,0.4303171336102388,0.024598032593975062,1093
139,7Networks_LH_SomMot_16-lh,lh,-49.83749240769976,-10.013368644769963,40.2321214262352,0.4221484152007107,0.024617863530850107,1093
140,7Networks_LH_SomMot_17-lh,lh,-45.774021628853326,-17.987458420800163,37.90019580200836,0.43687164609748974,0.01870003219489658,1093
141,7Networks_LH_SomMot_18-lh,lh,-8.743129790720923,-13.75252651180579,45.59628399935636,0.4275491579939088,0.023063367440878224,1093
142,7Networks_LH_SomMot_19-lh,lh,-38.86746629572385,-16.22310636275578,44.99045438457107,0.47224726334524986,0.012517738385728493,1093
143,7Networks_LH_SomMot_2-lh,lh,-56.10931351951565,-23.69945911513901,5.707054936435079,0.4159340425441864,0.02428712850473376,1093
144,7Networks_LH_SomMot_20-lh,lh,-46.825092743854135,-19.557366211803597,52.93963616234915,0.43709494019205014,0.02076731534957949,1093
145,7Networks_LH_SomMot_21-lh,lh,-46.16054633649737,-30.398967910518845,54.6225489349511,0.48221121852487536,0.0110758770094233,1093
146,7Networks_LH_SomMot_22-lh,lh,-36.92225503634833,-24.852956129697137,48.816611440960536,0.468984544711745,0.012761567054656546,1093
147,7Networks_LH_SomMot_23-lh,lh,-10.595498790968524,-36.98443543109356,51.43822518967237,0.43218176087751703,0.020464553599839824,1093
148,7Networks_LH_SomMot_24-lh,lh,-4.910091947092869,-23.9275973102834,54.10443394727046,0.4516467353673728,0.016576539373309062,1093
149,7Networks_LH_SomMot_25-lh,lh,-4.144896760297461,-9.14335792123472,57.2605713372943,0.4476112434713769,0.020158105753303065,1093
150,7Networks_LH_SomMot_26-lh,lh,-35.46460509877983,-19.694496308081757,60.009912207361566,0.4492658360780985,0.0244818628606917,1093
151,7Networks_LH_SomMot_27-lh,lh,-30.09208316156825,-44.93929588001974,58.88197968505706,0.44937479565782806,0.019106442246693403,1093
152,7Networks_LH_SomMot_28-lh,lh,-33.50274708048503,-28.586031125386555,58.95554850260417,0.46309819167351846,0.01944531310019386,1093
153,7Networks_LH_SomMot_29-lh,lh,-30.132549316611065,-36.48280794796528,60.82360043621704,0.42846227222291716,0.02678752557268586,1093
154,7Networks_LH_SomMot_3-lh,lh,-36.600375378225735,-24.48510210232472,8.472105336007406,0.4531727246705141,0.017832016385945833,1093
155,7Networks_LH_SomMot_30-lh,lh,-26.147134152439435,-11.438259468999265,60.13442602888109,0.4658490607119898,0.017602129430502513,1093
156,7Networks_LH_SomMot_31-lh,lh,-22.04363322725483,-26.53818640989416,60.84053631202848,0.4526557674202256,0.022458417243710893,1093
157,7Networks_LH_SomMot_32-lh,lh,-9.737462859300951,-42.27655872147296,68.4564729499186,0.45030786815545437,0.019360263386544296,1093
158,7Networks_LH_SomMot_33-lh,lh,-4.5160255521326,-25.76914211897783,67.47828754237,0.4454243923661639,0.02338780254691293,1093
159,7Networks_LH_SomMot_34-lh,lh,-16.98395305465736,-14.130715002357736,68.84486236950427,0.43787301388823896,0.023646297970264404,1093
160,7Networks_LH_SomMot_35-lh,lh,-19.01375838058765,-31.45782142355233,64.50237796687279,0.4242630488669353,0.02925093937611279,1093
161,7Networks_LH_SomMot_36-lh,lh,-20.53849470405113,-39.21286640400155,68.25770817294696,0.42009531486977014,0.026424225321075884,1093
162,7Networks_LH_SomMot_37-lh,lh,-13.274689418241982,-29.313758384396824,68.78446425905653,0.4240220132240145,0.027360728015261952,1093
