parcel_idx,label,hemi,x,y,z,rho_mean,rho_std,coverage,n_subjects
124,7Networks_LH_SalVentAttn_Med_6-lh,lh,-7.996972425284158,-47.905287310632026,56.66460163651948,0.1472321351594513,0.04057176517980095,1.0,1096
125,7Networks_LH_SalVentAttn_Med_7-lh,lh,-9.581735411692527,-4.7751348625948085,68.61623965108336,0.15210933892291312,0.04075544864801367,1.0,1096
126,7Networks_LH_SalVentAttn_PFCl_1-lh,lh,-30.43239820530984,39.53049867765039,25.725265998755937,0.14445336705411913,0.038146870143692994,1.0,1096
127,7Networks_LH_SalVentAttn_ParOper_1-lh,lh,-53.007303389158544,-35.49347277359816,21.68828773603565,0.13768534765294752,0.038914387773897025,1.0,1096
128,7Networks_LH_SalVentAttn_ParOper_2-lh,lh,-57.54926100154381,-45.50295204227253,25.69512326030408,0.14360061443885502,0.03765668927771656,1.0,1096
129,7Networks_LH_SalVentAttn_ParOper_3-lh,lh,-59.68074720102058,-24.800348331803395,30.209649454625765,0.14657176540174996,0.03856007094915376,1.0,1096
130,7Networks_LH_SalVentAttn_ParOper_4-lh,lh,-60.27880584389154,-37.42226658276985,34.42161412911912,0.14525104298515332,0.03844868344811323,1.0,1096
131,7Networks_LH_SalVentAttn_TempOcc_1-lh,lh,-53.62599159361529,-54.918923530160434,7.941994568516798,0.14180831525495657,0.03823489759399119,1.0,1096
132,7Networks_LH_SomMot_1-lh,lh,-49.10716878647772,-13.393378912210798,0.4076897875755875,0.14271991453160518,0.0373619404993743,1.0,1096
133,7Networks_LH_SomMot_10-lh,lh,-48.60821804058589,-25.19058727096988,17.03619863844964,0.1400699681729542,0.03964430533197749,1.0,1096
134,7Networks_LH_SomMot_11-lh,lh,-60.038825685568085,-19.98567181373921,18.521731339629167,0.13923196969329754,0.03812629706224047,1.0,1096
135,7Networks_LH_SomMot_12-lh,lh,-58.84164334007316,-5.112528729102339,22.820865601232047,0.14138632054206993,0.039007479486073,1.0,1096
136,7Networks_LH_SomMot_13-lh,lh,-62.35561814361916,-12.373987597159909,31.45366324088424,0.14112395250196083,0.03834875621306017,1.0,1096
137,7Networks_LH_SomMot_14-lh,lh,-50.190783267419775,-10.547492154242454,28.733875165413775,0.14342248615923386,0.038990868712985925,1.0,1096
138,7Networks_LH_SomMot_15-lh,lh,-53.3214094234946,-23.75585824414029,37.91048008757211,0.1394973146332058,0.038568246332656306,1.0,1096
139,7Networks_LH_SomMot_16-lh,lh,-49.83749240769976,-10.013368644769963,40.2321214262352,0.14301816261127365,0.038165268180742624,1.0,1096
140,7Networks_LH_SomMot_17-lh,lh,-45.774021628853326,-17.987458420800163,37.90019580200836,0.1446548967841962,0.03781167874276378,1.0,1096
141,7Networks_LH_SomMot_18-lh,lh,-8.743129790720923,-13.75252651180579,45.59628399935636,0.13998500598047614,0.03849497399395167,1.0,1096
142,7Networks_LH_SomMot_19-lh,lh,-38.86746629572385,-16.22310636275578,44.99045438457107,0.15225027123036344,0.041722876080035914,1.0,1096
143,7Networks_LH_SomMot_2-lh,lh,-56.10931351951565,-23.69945911513901,5.707054936435079,0.14390712108718123,0.03849249733747728,1.0,1096
144,7Networks_LH_SomMot_20-lh,lh,-46.825092743854135,-19.557366211803597,52.93963616234915,0.1434455312565166,0.03827063287891422,1.0,1096
145,7Networks_LH_SomMot_21-lh,lh,-46.16054633649737,-30.398967910518845,54.6225489349511,0.1549546760323178,0.040761110988628564,1.0,1096
146,7Networks_LH_SomMot_22-lh,lh,-36.92225503634833,-24.852956129697137,48.816611440960536,0.1517745189624098,0.040144591647438624,1.0,1096
147,7Networks_LH_SomMot_23-lh,lh,-10.595498790968524,-36.98443543109356,51.43822518967237,0.14378381693091608,0.0390623289892881,1.0,1096
148,7Networks_LH_SomMot_24-lh,lh,-4.910091947092869,-23.9275973102834,54.10443394727046,0.14128425007595152,0.038891092286032235,1.0,1096
149,7Networks_LH_SomMot_25-lh,lh,-4.144896760297461,-9.14335792123472,57.2605713372943,0.14017221798160362,0.03857578966577204,1.0,1096
150,7Networks_LH_SomMot_26-lh,lh,-35.46460509877983,-19.694496308081757,60.009912207361566,0.14204515845558852,0.03916544663195619,1.0,1096
151,7Networks_LH_SomMot_27-lh,lh,-30.09208316156825,-44.93929588001974,58.88197968505706,0.1406674487482598,0.037796434952017136,1.0,1096
152,7Networks_LH_SomMot_28-lh,lh,-33.50274708048503,-28.586031125386555,58.95554850260417,0.1445707341558526,0.039790102405596606,1.0,1096
153,7Networks_LH_SomMot_29-lh,lh,-30.132549316611065,-36.48280794796528,60.82360043621704,0.14335371353041973,0.03754704150263831,1.0,1096
154,7Networks_LH_SomMot_3-lh,lh,-36.600375378225735,-24.48510210232472,8.472105336007406,0.14493530139907562,0.0387731354575016,1.0,1096
155,7Networks_LH_SomMot_30-lh,lh,-26.147134152439435,-11.438259468999265,60.13442602888109,0.14409799843687773,0.039369991557088146,1.0,1096
156,7Networks_LH_SomMot_31-lh,lh,-22.04363322725483,-26.53818640989416,60.84053631202848,0.14338215686328837,0.03896615407184966,1.0,1096
157,7Networks_LH_SomMot_32-lh,lh,-9.737462859300951,-42.27655872147296,68.4564729499186,0.14571652678462874,0.03833446065447205,1.0,1096
158,7Networks_LH_SomMot_33-lh,lh,-4.5160255521326,-25.76914211897783,67.47828754237,0.14306632120016907,0.04011911456753541,1.0,1096
159,7Networks_LH_SomMot_34-lh,lh,-16.98395305465736,-14.130715002357736,68.84486236950427,0.1450843518102567,0.03815320943765614,1.0,1096
160,7Networks_LH_SomMot_35-lh,lh,-19.01375838058765,-31.45782142355233,64.50237796687279,0.14562993808713934,0.037764419680552344,1.0,1096
161,7Networks_LH_SomMot_36-lh,lh,-20.53849470405113,-39.21286640400155,68.25770817294696,0.14395009439056197,0.03784091900562794,1.0,1096
162,7Networks_LH_SomMot_37-lh,lh,-13.274689418241982,-29.313758384396824,68.78446425905653,0.14554378651176492,0.03767021332845441,1.0,1096
163,7Networks_LH_SomMot_4-lh,lh,-38.73192432550015,-8.68678628993808,12.735589813597676,0.14644855182828223,0.037192707229681904,1.0,1096
164,7Networks_LH_SomMot_5-lh,lh,-36.52532194769103,-26.759153874289897,17.119322231382032,0.14532343408402196,0.03812808794760367,1.0,1096
165,7Networks_LH_SomMot_6-lh,lh,-58.85225339873676,-37.719997849821056,14.647466864282077,0.14698547401951756,0.04007912052838777,1.0,1096
166,7Networks_LH_SomMot_7-lh,lh,-41.89994005826891,-34.98152779736212,12.694232993023492,0.14478991533877983,0.0384016312654767,1.0,1096
167,7Networks_LH_SomMot_8-lh,lh,-47.326613596264544,-14.227169012377164,13.181350216885946,0.13725167351306522,0.03921570974966181,1.0,1096
168,7Networks_LH_SomMot_9-lh,lh,-60.75959134706309,-4.318530817605345,10.313856801180773,0.1437967837571868,0.03929484793899657,1.0,1096
169,7Networks_LH_Vis_1-lh,lh,-31.4309310791405,-41.7305473893453,-23.353852010419683,0.1425942846161572,0.038850674155320716,1.0,1096
170,7Networks_LH_Vis_10-lh,lh,-13.831584402089996,-61.93816955272968,-6.925084474659111,0.1438463315225446,0.039136033846115206,1.0,1096
171,7Networks_LH_Vis_11-lh,lh,-7.6674930474741,-76.6371835941891,-6.423972532256983,0.1454589690396936,0.03883614400456624,1.0,1096
172,7Networks_LH_Vis_12-lh,lh,-24.88535555931016,-96.7344111954627,-12.331187576548398,0.14192052561240173,0.0393373283133743,1.0,1096
173,7Networks_LH_Vis_13-lh,lh,-13.33588174859591,-44.53940906480609,-4.765169160052536,0.1437202498644683,0.038743736946403824,1.0,1096
174,7Networks_LH_Vis_14-lh,lh,-39.96225601367736,-87.00389323226904,-5.55985734128598,0.14595135305422288,0.03884321433253698,1.0,1096
175,7Networks_LH_Vis_15-lh,lh,-10.10872519621048,-97.78456176792218,-3.886825971378868,0.14032310764779699,0.03882725551792548,1.0,1096
176,7Networks_LH_Vis_16-lh,lh,-15.482495665705253,-58.09110391465523,0.7895022529339805,0.14664572186116162,0.039664189108006606,1.0,1096
177,7Networks_LH_Vis_17-lh,lh,-44.34436879345911,-72.90463907650104,1.5993256595568917,0.14186838891202128,0.038670596196097536,1.0,1096
