parcel_idx,x,y,z,tau_fmri,spectral_exp,alff,falff,rho_fmri,n_subjects
44,-62.4321608040201,-10.291457286432163,31.165829145728637,5.203163872757447,0.991011144909369,3.4340113086698945,0.89512248042432,0.566023778817431,68
45,-53.22279792746113,-8.974093264248708,30.0,5.302565629778478,1.078587587308201,3.419384373801168,0.8972954761991305,0.5612104889063445,68
46,-54.83422459893049,-19.807486631016047,40.705882352941174,5.247566587810767,1.0984260874243823,3.5101619331229594,0.9042436637447645,0.561434108586308,68
47,-50.88079470198676,-6.814569536423846,43.11258278145695,5.312453513974718,1.096644902993644,3.444074591796569,0.8999505497864174,0.5601966353327247,68
48,-47.98830409356725,-16.292397660818708,40.18713450292398,5.005999266374106,0.9986409968763229,3.484209626430452,0.8962371683906815,0.5661404928618526,68
49,-7.874213836477992,-15.289308176100633,46.89937106918239,5.191952385579235,1.1285312220250596,3.501481380614959,0.9095168893027602,0.5568691166898431,68
50,-40.984771573604064,-14.345177664974614,47.97969543147208,5.038451237844751,0.9568257258658432,3.3962168200586795,0.8892881616116517,0.5679607185719702,68
51,-48.71428571428572,-17.38095238095238,54.2,5.240351530501725,1.1028779173849361,3.5130883364122645,0.9000548338930925,0.5614305073996515,68
52,-47.30459770114942,-29.591954022988503,58.19540229885058,5.121681385072538,1.038663275648973,3.479355094785938,0.8934231516983345,0.5653998709034701,68
53,-39.184,-24.784000000000006,52.879999999999995,5.189137242524429,1.0282575516755565,3.460043537808556,0.8966845930030788,0.5633969056182506,68
54,-8.59420289855072,-37.53623188405797,53.53623188405797,5.157621157420041,1.1015516141222286,3.506821261598206,0.9070015231218851,0.5581963646686355,68
55,-4.299065420560751,-24.785046728971963,56.19626168224298,5.289409886188835,1.1200467990515202,3.441501595167101,0.9064964408387169,0.557249943541604,68
56,-3.898916967509024,-8.628158844765338,59.09747292418771,5.327056777180564,1.0909007197141167,3.3716465903256414,0.8975787795391128,0.5578728206497932,68
57,-34.51680672268908,-18.277310924369743,63.64285714285714,5.637313609783109,1.1405660625411975,3.320405028920799,0.9013555837328748,0.5554869712147241,68
58,-30.15789473684211,-46.29824561403508,62.71345029239765,5.215508095254672,0.9578998320158691,3.3227113264910297,0.8836854309172707,0.5644655204180307,68
59,-32.0530303030303,-28.939393939393938,62.151515151515156,5.4105955111672825,1.043552537398462,3.3624725022952333,0.895749357863568,0.5599076431612962,68
60,-29.821561338289968,-38.25278810408922,64.84758364312268,5.489196997369117,1.1224359242084003,3.4083925768508863,0.8956728968261182,0.5583414169046166,68
61,-23.520215633423177,-10.700808625336933,64.88948787061994,5.31033533713775,0.9976767328928081,3.3285337412328095,0.8985606386665982,0.5611761381021082,68
62,-19.27407407407408,-24.251851851851853,66.47407407407408,5.373532574545165,0.9879130803653946,3.366559932546221,0.8929108750992443,0.565314676422002,68
63,-8.40425531914893,-41.65957446808511,70.18439716312056,5.0020426123871715,0.9152395754281409,3.377698759553465,0.8827117339208806,0.564655191126441,68
64,-4.02873563218391,-25.741379310344826,68.56896551724137,5.2336169351819795,1.0825598679882666,3.41400191126741,0.9053118342335997,0.556105165550857,68
65,-14.224215246636774,-11.228699551569505,72.2152466367713,5.363955902035913,0.9886906884012788,3.305056176600413,0.8958022004886442,0.5618032643308756,68
66,-18.456521739130437,-30.985507246376812,68.70289855072463,5.570227195212334,1.1469123626361233,3.349196590474289,0.8967293825764908,0.5569599609264286,68
67,-19.00769230769231,-39.98461538461538,71.76153846153846,5.148850695862614,0.9304324696492943,3.3724532507080554,0.8900755988176093,0.5654829389982892,68
68,-11.857142857142861,-26.76785714285714,73.26785714285714,5.258115864081092,1.0255711644014633,3.3594144896502542,0.8911769882450066,0.5616295556034485,68
69,-44.94214876033058,-42.29752066115702,-21.294765840220386,4.80967867493346,0.7452414859286216,3.384162090603393,0.8648250655367028,0.5794080168277344,68
70,-48.72222222222223,-55.66666666666667,-15.54248366013072,4.285664837501645,0.3603093007787682,3.311551811169231,0.8336595942404417,0.5952346493084434,68
71,-55.10088495575221,-61.68495575221239,-0.6796460176991133,4.136624876360901,0.22191076096335532,3.2884125072465915,0.8311969619657903,0.6002062122975123,68
72,-47.87428571428572,-65.33714285714285,14.925714285714292,4.286584600741531,0.3628091309901336,3.2907548200380337,0.8402669059681166,0.5954151636006413,68
73,-26.379746835443044,-70.12658227848101,30.405063291139243,4.576130190463894,0.5413989454148487,3.3079406058861935,0.8527292261137344,0.5814983328000551,68
74,-54.8116883116883,-31.298701298701303,44.40909090909091,5.161024612703409,1.0507963404193037,3.4829408670352358,0.8980591360276704,0.5639945391068198,68
75,-22.72,-65.512,46.42400000000001,4.624828001383099,0.6194983195096191,3.3164379227215015,0.8630754250028763,0.5814317591148115,68
76,-46.2415458937198,-29.101449275362313,43.78743961352657,5.235005726459955,1.11369233747406,3.498587729464571,0.9042194259514026,0.5585138704769699,68
77,-33.113725490196074,-46.49411764705883,40.87058823529412,5.6156808979088435,1.2667327685325065,3.44678602399624,0.9113719689648173,0.5528853742589667,68
78,-28.721518987341767,-58.037974683544306,50.56962025316456,5.056031397898843,0.9515906945864794,3.410929935366736,0.8903388513541087,0.5682430900929527,68
