# Schaefer parcellation centroids in fsaverage surface space
# Coordinate convention: x=ML, y=AP, z=DV (RAS orientation)
# n_parcels=400, n_networks=7
# Limitations: coordinates are surface-based, not MNI volumetric
parcel_idx,label,hemi,network,x,y,z
176,7Networks_LH_Vis_16-lh,lh,Vis,-15.482495665705251,-58.09110391465523,0.7895022529339805
177,7Networks_LH_Vis_17-lh,lh,Vis,-44.34436879345911,-72.90463907650104,1.5993256595568917
178,7Networks_LH_Vis_18-lh,lh,Vis,-7.046712842381116,-88.08057260050357,3.616288670102469
179,7Networks_LH_Vis_19-lh,lh,Vis,-26.07193373999697,-94.43096102044937,3.78806229834965
180,7Networks_LH_Vis_2-lh,lh,Vis,-31.409458831813833,-35.14854264301093,-18.224944952281678
181,7Networks_LH_Vis_20-lh,lh,Vis,-13.2440716159587,-51.69824464759048,2.876118942084057
182,7Networks_LH_Vis_21-lh,lh,Vis,-9.856477479710986,-75.67654549863917,7.829021696911358
183,7Networks_LH_Vis_22-lh,lh,Vis,-21.03412999840422,-66.21519638146768,5.735785520143349
184,7Networks_LH_Vis_23-lh,lh,Vis,-38.889450997834956,-83.35966367350517,10.044632151487875
185,7Networks_LH_Vis_24-lh,lh,Vis,-14.192239268374,-97.16284925567437,15.415261314818578
186,7Networks_LH_Vis_25-lh,lh,Vis,-3.968079407498219,-84.70897804445805,23.46371066894313
187,7Networks_LH_Vis_26-lh,lh,Vis,-13.974083823852645,-70.9343149771445,19.449905606403803
188,7Networks_LH_Vis_27-lh,lh,Vis,-27.42744734250926,-83.66948806387039,16.621921721544524
189,7Networks_LH_Vis_28-lh,lh,Vis,-33.7867070651843,-82.53938262395883,23.043505476934612
190,7Networks_LH_Vis_29-lh,lh,Vis,-16.95356636250939,-88.38620781859349,28.612489427839005
191,7Networks_LH_Vis_3-lh,lh,Vis,-36.478565499802265,-61.145277896597364,-20.06013478050547
192,7Networks_LH_Vis_30-lh,lh,Vis,-13.66630835192544,-79.6397770914792,33.57240023299994
193,7Networks_LH_Vis_31-lh,lh,Vis,-21.089300283096122,-77.06418851936388,39.01340075258939
194,7Networks_LH_Vis_4-lh,lh,Vis,-26.574845212490406,-54.31074229378012,-9.431516289117917
195,7Networks_LH_Vis_5-lh,lh,Vis,-24.924668710072837,-73.26484629821778,-10.00446177037557
196,7Networks_LH_Vis_6-lh,lh,Vis,-34.64361891612201,-80.6698271388739,-16.732641611300725
197,7Networks_LH_Vis_7-lh,lh,Vis,-19.014586882002664,-37.84904459166825,-12.17023153978938
198,7Networks_LH_Vis_8-lh,lh,Vis,-43.993360427731226,-69.29369410149238,-9.570383422120376
199,7Networks_LH_Vis_9-lh,lh,Vis,-17.310307839234962,-87.84337217062439,-12.153232631997174
200,7Networks_RH_Cont_Cing_1-rh,rh,Cont,4.109800150917797,-25.29359493371917,29.053500754658767
201,7Networks_RH_Cont_Cing_2-rh,rh,Cont,3.1553434839097014,-0.20256565739614593,31.53282304703136
202,7Networks_RH_Cont_PFCl_1-rh,rh,Cont,27.986942701890204,52.30002185149051,-13.416409871879495
203,7Networks_RH_Cont_PFCl_10-rh,rh,Cont,36.431297569475326,11.299653027813406,30.729302708614103
204,7Networks_RH_Cont_PFCl_11-rh,rh,Cont,37.26327935217558,30.61038870943047,36.97827252953187
205,7Networks_RH_Cont_PFCl_12-rh,rh,Cont,41.34909707119591,20.194415424999438,39.795362961919686
206,7Networks_RH_Cont_PFCl_13-rh,rh,Cont,41.15386166593954,7.346591785082368,46.490649022329016
207,7Networks_RH_Cont_PFCl_14-rh,rh,Cont,34.31315690797992,15.67370102179082,52.58439444992347
208,7Networks_RH_Cont_PFCl_15-rh,rh,Cont,24.59286099607608,8.304191625305194,53.710937559820344
209,7Networks_RH_Cont_PFCl_2-rh,rh,Cont,42.60892465688887,48.0329504918008,-4.145084624362253
210,7Networks_RH_Cont_PFCl_3-rh,rh,Cont,28.33977524577109,54.3951634851541,3.541195894611669
211,7Networks_RH_Cont_PFCl_4-rh,rh,Cont,46.33146818115681,36.46545952373275,5.405926232268758
212,7Networks_RH_Cont_PFCl_5-rh,rh,Cont,40.67638054440802,42.033907573830334,15.31384148960471
213,7Networks_RH_Cont_PFCl_6-rh,rh,Cont,45.62040812973369,29.41268179928445,16.996940627772148
214,7Networks_RH_Cont_PFCl_7-rh,rh,Cont,43.166955864244,18.624721320717473,22.83558898127231
