parcel_idx,label,hemi,tau_mean,rho_mean,tau_r2_mean,rho_r2_mean,x,y,z,tau_resid,rho_resid
164,7Networks_LH_SomMot_5-lh,lh,0.019669806556616688,0.5979186402061037,0.8015857472395187,0.9999181018721177,-36.52532194769103,-26.759153874289897,17.119322231382032,0.005969530879104033,-0.00440719303571635
165,7Networks_LH_SomMot_6-lh,lh,0.009297523334123413,0.6040531571670276,0.8434605211627512,0.9998862546827044,-58.85225339873676,-37.719997849821056,14.647466864282077,-0.0034619659064473746,0.0015450047262708377
166,7Networks_LH_SomMot_7-lh,lh,0.021860024915634917,0.5971842880639892,0.7693953180016746,0.9999183867460096,-41.89994005826891,-34.98152779736212,12.694232993023492,0.008513324457392401,-0.0055183336670442396
167,7Networks_LH_SomMot_8-lh,lh,0.017213170802144667,0.6013631695610777,0.7747280153621917,0.9999070441801781,-47.326613596264544,-14.227169012377164,13.181350216885946,0.0024145486883075246,-0.0016765281493229534
168,7Networks_LH_SomMot_9-lh,lh,0.008695158564277718,0.6067072021257479,0.8438451495022288,0.9998779152863508,-60.75959134706309,-4.318530817605345,10.313856801180773,-0.0068862813340963384,0.0031093603080244447
169,7Networks_LH_Vis_1-lh,lh,0.016600907046565864,0.6047530995363781,0.679562804533434,0.9998915455605712,-31.4309310791405,-41.7305473893453,-23.353852010419683,0.0008574807026578042,-0.0018494158333299815
170,7Networks_LH_Vis_10-lh,lh,0.011772572966892247,0.6044185967122433,0.7661010144409283,0.9998889634258259,-13.831584402089996,-61.93816955272968,-6.925084474659111,-0.0014299634623779409,0.00010468957302300907
171,7Networks_LH_Vis_11-lh,lh,0.010227716509243328,0.6039436325447248,0.7920658604524558,0.9998876685331382,-7.6674930474741,-76.6371835941891,-6.423972532256983,-0.001913340185786724,-2.5933720637971724e-05
172,7Networks_LH_Vis_12-lh,lh,0.0054405311327240915,0.6084191799651272,0.8611927479895781,0.9998674742702072,-24.88535555931016,-96.7344111954627,-12.331187576548398,-0.0054045008104801505,0.004064357044701428
173,7Networks_LH_Vis_13-lh,lh,0.010821698219713603,0.6066110537155633,0.7969113930974955,0.9998797531398558,-13.33588174859591,-44.53940906480609,-4.765169160052536,-0.003532620018635059,0.0022342556111069056
174,7Networks_LH_Vis_14-lh,lh,0.005606477636250372,0.6062804029763564,0.8859452122387234,0.9998724794035303,-39.96225601367736,-87.00389323226904,-5.55985734128598,-0.005246933465146368,0.002450466289255493
175,7Networks_LH_Vis_15-lh,lh,0.0066326262733084505,0.6060159880530753,0.8658851214028039,0.9998762646084699,-10.10872519621048,-97.78456176792218,-3.886825971378868,-0.0036878274802827913,0.002697020872827194
176,7Networks_LH_Vis_16-lh,lh,0.012232302342331988,0.6029933719054454,0.7453428208256723,0.9998896166750707,-15.482495665705253,-58.09110391465523,0.7895022529339805,-0.0006463379563137247,-0.0005259643638112488
