parcel_idx,label,hemi,network,tau_mean,tau_median,tau_std,rho_mean,rho_median,rho_std,tau_exp_r2_mean,rho_r2_mean,ts_var_mean,ts_rms_mean,n_subjects,x,y,z,alpha_rel,beta_rel,gamma_rel,spectral_slope
81,7Networks_LH_DorsAttn_Post_12-lh,lh,DorsAttn,0.01405922606907,0.0129089462442058,0.0082423394934537,0.5983960854176001,0.5988737675647586,0.0101796551280238,0.8045700983490865,0.9999129517693645,1.0,1.0,208,-34.70367788801006,-51.61386739818099,51.68537143632477,0.21107456085948137,0.3488302906866043,0.131359825111221,0.48757637104568774
82,7Networks_LH_DorsAttn_Post_13-lh,lh,DorsAttn,0.0139421579619486,0.01223565122056,0.0079830039841218,0.5966971119717096,0.5973934386530426,0.0089875741518937,0.746527298727736,0.9999147803819348,1.0,1.0,208,-15.236237032457543,-69.27501632643431,54.09764610619516,0.25657155976448315,0.34051764990860783,0.12725890098248718,0.4781493745308538
83,7Networks_LH_DorsAttn_Post_14-lh,lh,DorsAttn,0.0126765080408922,0.0112809725875541,0.0084941781914878,0.5988081431680599,0.5996080481448389,0.0079539321027986,0.8024403163635837,0.9999076163581126,1.0,1.0,208,-26.62689025998897,-60.30824582261152,58.1833988004712,0.21854122230996265,0.358143015503649,0.14431140783489202,0.41896308762354245
84,7Networks_LH_DorsAttn_Post_15-lh,lh,DorsAttn,0.0133663431410721,0.0117218478165598,0.0082545219069395,0.5979985714709517,0.5984020884859614,0.0102745038439238,0.7748278153392086,0.999911448058024,1.0,1.0,208,-9.955279937660416,-57.18201072912648,61.73898947549618,0.23018239340679209,0.35012175359538233,0.13590148982409667,0.4534955601787264
85,7Networks_LH_DorsAttn_Post_16-lh,lh,DorsAttn,0.0124778748102599,0.0110094467876957,0.0082677077779968,0.5985543454892788,0.5995452504479577,0.0089460514000921,0.7956704127257909,0.9999093634700028,1.0,1.0,208,-20.9414129970836,-53.92451153709775,63.16374481616377,0.22240853581286466,0.3597913179877772,0.14123828936772978,0.41871286322751766
86,7Networks_LH_DorsAttn_Post_17-lh,lh,DorsAttn,0.0106319309224389,0.0090105591364021,0.0075178024277749,0.5999309044394253,0.6005479654698006,0.0110720630815575,0.8129932343001157,0.9999000864999606,1.0,1.0,208,-15.386701867096406,-50.276124586138806,70.73036589658349,0.20818031803627313,0.3720152518064851,0.15925290316971139,0.3505312233956295
87,7Networks_LH_DorsAttn_Post_2-lh,lh,DorsAttn,0.0087753240781306,0.0073910167477621,0.0052272460843435,0.6066635077386942,0.6071479677996933,0.0072031766656171,0.8487892433834021,0.9998781652078887,1.0,1.0,208,-47.15596871878233,-54.06269714307735,-15.919451797095528,0.140759116696362,0.4007686568664425,0.2183753789516458,0.19092919706019842
88,7Networks_LH_DorsAttn_Post_3-lh,lh,DorsAttn,0.0067945949722967,0.0052394436702024,0.0072362222514726,0.607012618536112,0.6071958522660532,0.0067015677485892,0.8768667652766516,0.9998721413981464,1.0,1.0,208,-53.2125022771322,-62.25397700136548,-3.8142905067428297,0.1377467969090317,0.4100205500246438,0.22900216161849796,0.1523792449914333
89,7Networks_LH_DorsAttn_Post_4-lh,lh,DorsAttn,0.0081088560525968,0.0063261921448684,0.0078426895547555,0.6029517280577046,0.6044783281792176,0.006870918005284,0.8701086799980525,0.9998829605300916,1.0,1.0,208,-46.47895984177876,-67.84704178719133,11.128987582749277,0.16479417142673775,0.38855523456755053,0.20233049160392758,0.2558013299297399
90,7Networks_LH_DorsAttn_Post_5-lh,lh,DorsAttn,0.0179115243005552,0.0171639442981904,0.0070020803346526,0.5938061806422176,0.5936416391491728,0.0095549451200207,0.6957921024368454,0.9999323186686624,1.0,1.0,208,-26.4475365004726,-69.29530358625301,27.30186345190976,0.28559791944858465,0.3029154606470097,0.0994896481250012,0.6551388840223705
91,7Networks_LH_DorsAttn_Post_6-lh,lh,DorsAttn,0.0100072624946751,0.0080068519222923,0.0085868439301824,0.6014781212741639,0.6027309899436211,0.007194669584211,0.8564129166055222,0.999893282979293,1.0,1.0,208,-50.50214662977085,-33.157821261654995,40.64988930574648,0.16461903540283562,0.3794028874595229,0.17548332497041583,0.34561387388664516
92,7Networks_LH_DorsAttn_Post_7-lh,lh,DorsAttn,0.0155332907607856,0.0145724420132911,0.0070087670301013,0.5957356228165879,0.5958711214524756,0.0080873810793255,0.7468617372854648,0.9999215240827574,1.0,1.0,208,-23.56977437251323,-64.05671753754487,42.030502046121136,0.25997191237692685,0.3259963570624762,0.11612035409565559,0.5492406514372893
93,7Networks_LH_DorsAttn_Post_8-lh,lh,DorsAttn,0.0155709851235314,0.0149177288579388,0.0076025360625812,0.5959416314487838,0.5958702671461802,0.0097717552785686,0.8048410564602863,0.9999244359060152,1.0,1.0,208,-41.80453570444181,-31.00647144860758,38.730709529601945,0.21588061002471765,0.34144691760155965,0.11201969006150943,0.5541930191108326
94,7Networks_LH_DorsAttn_Post_9-lh,lh,DorsAttn,0.016146157539803,0.0150793867382785,0.0077656336802843,0.5958177580449907,0.5963620973642478,0.0087940845534055,0.8001849309629496,0.9999224014439004,1.0,1.0,208,-33.93362460633502,-47.70593910757332,38.35676895789658,0.2221096348847311,0.33049761712897613,0.11536525278186623,0.5757916156977637
95,7Networks_LH_DorsAttn_PrCv_1-lh,lh,DorsAttn,0.0112175388725552,0.0097462578031899,0.0080179145789287,0.6012211572334875,0.6019842190832176,0.0065097397703475,0.8346934093761706,0.9998977606699168,1.0,1.0,208,-47.97324231275872,6.2063375440996085,24.471581162030425,0.14878707051750367,0.3695855245830634,0.16852928206984732,0.4015190753829021
96,7Networks_LH_DorsAttn_PrCv_2-lh,lh,DorsAttn,0.0103769774779153,0.0086891636330308,0.0080938772780515,0.6006718919607774,0.6014659002188223,0.0082925186176248,0.8499738677569163,0.9998992398607622,1.0,1.0,208,-49.70606513484832,0.9781463359288248,36.64115305562173,0.1553155987313191,0.37189429123115714,0.16580576398258892,0.39368874601522774
