parcel_idx,label,hemi,network,tau_mean,tau_median,tau_std,rho_mean,rho_median,rho_std,tau_exp_r2_mean,rho_r2_mean,ts_var_mean,ts_rms_mean,n_subjects,x,y,z
138,7Networks_LH_SomMot_15-lh,lh,SomMot,0.009608963561311063,0.0080184359762633,0.008097277695304557,0.6011872139063927,0.6022232894408097,0.0070599394066743855,0.852526147531961,0.9998938834068002,1.0,1.0,208,-53.3214094234946,-23.75585824414029,37.91048008757211
139,7Networks_LH_SomMot_16-lh,lh,SomMot,0.011021353123401224,0.00932966877819095,0.008090971572459402,0.5993588911897797,0.5997571826672259,0.007480599290880531,0.8356484629956327,0.9999047551795641,1.0,1.0,208,-49.83749240769976,-10.013368644769963,40.2321214262352
140,7Networks_LH_SomMot_17-lh,lh,SomMot,0.012140356153026501,0.010745590998044799,0.00797377892957552,0.5982538374529849,0.5987490258299195,0.00788783213647401,0.8215150468420931,0.9999075543258092,1.0,1.0,208,-45.774021628853326,-17.987458420800163,37.90019580200836
141,7Networks_LH_SomMot_18-lh,lh,SomMot,0.01164251606747685,0.01057190230976485,0.006008181227577181,0.5976620217519926,0.59795399268369,0.007479120895704048,0.8594633723278732,0.9999070608471642,1.0,1.0,208,-8.743129790720923,-13.75252651180579,45.59628399935636
142,7Networks_LH_SomMot_19-lh,lh,SomMot,0.012994025393731238,0.010995083408626649,0.008581574068014207,0.5975029077870445,0.5977655244155391,0.011118361586348309,0.75038983730891,0.9999156236550074,1.0,1.0,208,-38.86746629572385,-16.22310636275578,44.99045438457107
143,7Networks_LH_SomMot_2-lh,lh,SomMot,0.01018497005511204,0.0086749630226683,0.007701875115075658,0.6043948656286519,0.6048099203618162,0.007643119180799247,0.828620838301512,0.9998849033779679,1.0,1.0,208,-56.10931351951565,-23.69945911513901,5.707054936435079
144,7Networks_LH_SomMot_20-lh,lh,SomMot,0.010828398256859297,0.008705146514612148,0.008374975593350795,0.5994032224344237,0.6003823983721648,0.009109578130255421,0.7861878203661353,0.9999019342192226,1.0,1.0,208,-46.825092743854135,-19.5573662118036,52.93963616234915
145,7Networks_LH_SomMot_21-lh,lh,SomMot,0.011490219985410334,0.00952255046224855,0.008567731917002459,0.6005190766346847,0.6006820895311834,0.011170900913864482,0.7806508507910143,0.9999025962246524,1.0,1.0,208,-46.16054633649737,-30.398967910518845,54.6225489349511
146,7Networks_LH_SomMot_22-lh,lh,SomMot,0.014934033944251633,0.01375625968425525,0.008281289203508877,0.5986420369489829,0.5968102160567558,0.014805871161771123,0.6872451140221881,0.9999231074063961,1.0,1.0,208,-36.92225503634833,-24.852956129697137,48.816611440960536
147,7Networks_LH_SomMot_23-lh,lh,SomMot,0.014613235972096407,0.0137226558712365,0.006468338208992998,0.5953298435391047,0.5961284918523218,0.00776620817373761,0.7664892009108442,0.9999154927725324,1.0,1.0,208,-10.595498790968524,-36.98443543109356,51.43822518967237
148,7Networks_LH_SomMot_24-lh,lh,SomMot,0.01293104320320057,0.01165831730023895,0.006466894529340674,0.5999554719571946,0.5968534180173339,0.015800320853879658,0.8363547717241657,0.9999223939232477,1.0,1.0,208,-4.910091947092869,-23.9275973102834,54.10443394727046
149,7Networks_LH_SomMot_25-lh,lh,SomMot,0.011311220033599544,0.0103781480652484,0.006683431384570608,0.5986209860800193,0.5988229554793885,0.009182106778867393,0.858492012111036,0.9999057402234571,1.0,1.0,208,-4.144896760297461,-9.14335792123472,57.2605713372943
150,7Networks_LH_SomMot_26-lh,lh,SomMot,0.01375547671654326,0.01100245721958895,0.009404382000790041,0.599893019000622,0.5977091377424474,0.016667893722190734,0.6652518073317257,0.9999167328368677,1.0,1.0,208,-35.46460509877983,-19.69449630808176,60.009912207361566
151,7Networks_LH_SomMot_27-lh,lh,SomMot,0.012947362052260825,0.01115715237183415,0.008649185840366511,0.59817278528281,0.5989433176189174,0.00852494044989192,0.8049923473395622,0.9999115900201616,1.0,1.0,208,-30.09208316156825,-44.93929588001974,58.88197968505706
152,7Networks_LH_SomMot_28-lh,lh,SomMot,0.013819669898051353,0.0118146843827188,0.008896782683098039,0.5995724422627043,0.5980432500018615,0.016149075266399845,0.6718831463641345,0.9999160018189629,1.0,1.0,208,-33.50274708048503,-28.586031125386555,58.95554850260417
