subject,tau_mean,tau_std,rho_mean,rho_std,tau_exp_r2_mean,rho_r2_mean,ts_var_mean,n_nan_tau,n_nan_rho
sub-A2121,0.01347503300578635,0.006585585735957939,0.6013623949756751,0.010323019870255658,0.7740545501218289,0.9998930968663526,1.0,0,0
sub-A2122,0.010176152263999613,0.0040307611118557555,0.5998131804316191,0.007121706011255441,0.8446217191515603,0.9998973362955083,1.0,0,0
sub-A2124,0.011709886441185997,0.005025356444770158,0.601154505870084,0.009968007562397505,0.7854053552012812,0.9999013849484787,1.0,0,0
sub-A2125,0.01253491872466977,0.006271313795265436,0.5979228728353148,0.010946953561779597,0.8030580201956994,0.9998967540729945,1.0,0,0
sub-FYbcap,0.02804200115576446,0.009470464280663077,0.5991987743094058,0.005554904586615455,0.6047969436088991,0.9999218374754615,1.0,0,0
sub-QZTsn6,0.02810302293327259,0.00692189501991074,0.6019190011838282,0.005239814196316217,0.6367987545440106,0.9999180246096786,1.0,0,0
sub-V1004,0.011434783507291352,0.005461274006044176,0.597948944824037,0.0056063245019387425,0.8113278722941696,0.9999003873918049,1.0,0,0
sub-V1006,0.01650014690872824,0.013801628099682713,0.6013509787869517,0.01048681860630107,0.7987709427964581,0.9999005646359928,1.0,0,0
sub-V1007,0.016459324834873425,0.012270241059387883,0.602989897551974,0.010073974165381345,0.7463270160806093,0.9998996928894237,1.0,0,0
sub-V1008,0.011984352793693238,0.007312705194758425,0.6042650122075346,0.007541290114882417,0.7798251567753296,0.9998930631824186,1.0,0,0
sub-V1009,0.01170854598558825,0.005233454270972937,0.6036614459257721,0.007593078765804399,0.8206547189951472,0.9998908485605187,1.0,0,0
sub-V1010,0.014786228120487473,0.010839824244003947,0.6019602434435853,0.007768852638911824,0.7433880183020564,0.9998967397440219,1.0,0,0
sub-V1011,0.019818414409748585,0.015489502645307908,0.6029263347872876,0.01131729443857788,0.7418224535618565,0.9999071145195303,1.0,0,0
sub-V1012,0.013271020951046377,0.011500070474823381,0.6052453844218939,0.005571216675949479,0.7839721666812544,0.9999016165684782,1.0,0,0
sub-V1013,0.013906558334059484,0.00955136908139107,0.6034334276479066,0.010613055722642605,0.7961309838588155,0.9999076155425708,1.0,0,0
sub-V1015,0.010684209532344167,0.006375128879113408,0.6023825645087726,0.010213074779550817,0.8120423938785497,0.9998916679461932,1.0,0,0
sub-V1016,0.01308094908776951,0.006877530778288298,0.6009587501402831,0.010884309524660336,0.76594716204433,0.999895235184942,1.0,0,0
sub-V1017,0.017426608895960524,0.0074555275763066664,0.593921199154296,0.009740074807233092,0.7948228304772377,0.9999216309880954,1.0,0,0
sub-V1019,0.016491800093889196,0.013524016599493613,0.603558047155671,0.009789887053605506,0.7715503125849221,0.999896360723848,1.0,0,0
sub-V1020,0.014729139078406018,0.010369592159270673,0.5996944924386015,0.007644096823037592,0.8360626245139228,0.9999040904084878,1.0,0,0
sub-V1022,0.013729175704847791,0.005419605104387856,0.602337589131219,0.008498428696277545,0.786434229013096,0.9998964729853662,1.0,0,0
sub-V1024,0.01125913298353078,0.003994584173854767,0.601872906459435,0.012940555632095164,0.8033550175071255,0.99989762784746,1.0,0,0
sub-V1025,0.01727823388177325,0.010774670605857354,0.6057405966332922,0.012810190457820048,0.7205585206434384,0.9999000698097882,1.0,0,0
sub-V1026,0.01215024232528335,0.005981504478596531,0.5957692591834999,0.012293601050709443,0.8291810624782953,0.999900902694053,1.0,0,0
sub-V1027,0.015716176320324512,0.010826912999941955,0.5987619086957338,0.013146502730662346,0.7677434552417249,0.9999006337867651,1.0,0,0
sub-V1028,0.012078653273138135,0.005558501766364665,0.6053676166972728,0.007755349168295512,0.7848759069554619,0.999894213274668,1.0,0,0
sub-V1029,0.009879156754069182,0.005120039433858376,0.6057973017495153,0.005294609078786524,0.8223660085444915,0.9998913878540707,1.0,0,0
sub-V1030,0.01385261147649244,0.011943796531632208,0.6016733667694655,0.0061899734055034,0.8014817659701767,0.9998929565256576,1.0,0,0
sub-V1031,0.013753481531774166,0.00645182937023459,0.6018590764606593,0.00815253188730446,0.746456608567732,0.9999038538703452,1.0,0,0
sub-V1032,0.014122078864484867,0.005849997130550893,0.5924497997556851,0.011519436402085349,0.7785150652069444,0.9999116024424046,1.0,0,0
sub-V1033,0.01522383369898384,0.007026947267378376,0.6028143638499506,0.011632199974996758,0.7465206725081885,0.999896840755536,1.0,0,0
sub-V1034,0.010797132648408725,0.0037635421915201725,0.6052191786397488,0.005652722497445573,0.7986119698928262,0.9998964162227556,1.0,0,0
sub-V1035,0.014854437268999208,0.006266135282212696,0.5964192162196789,0.010842286646115803,0.7159588324571526,0.9999098221603385,1.0,0,0
sub-V1036,0.010270755336699649,0.004769642292641165,0.5994296230603602,0.006758521843410491,0.8136994350070778,0.9998920318701942,1.0,0,0
sub-V1037,0.014363279884971953,0.005668485152750025,0.6012463358025285,0.010264438859840713,0.7550296422719793,0.9998976239466421,1.0,0,0
sub-V1038,0.01129021984612518,0.009162755170584203,0.6036665660746193,0.010601582171924839,0.8148033978062509,0.9998863505416926,1.0,0,0
sub-V1039,0.011436528314757307,0.006220546201683969,0.6023398537868678,0.007632832918089271,0.7716488715007818,0.9998953905432938,1.0,0,0
sub-V1040,0.01833633586119359,0.015675652661586534,0.5975502068697175,0.011745761336732982,0.7202101620911345,0.9999062339094823,1.0,0,0
sub-V1042,0.015393961432585705,0.008561769687385661,0.6050453110721955,0.005423508311970058,0.7417027438662097,0.9998968582711413,1.0,0,0
sub-V1044,0.011976856659201516,0.005759400202814043,0.5948739477570437,0.007753478143410136,0.7765077151638294,0.9998984478697551,1.0,0,0
sub-V1045,0.010669330287645969,0.005188289619042016,0.604754677259462,0.006084895237305323,0.8079759693103373,0.9998930743206138,1.0,0,0
sub-V1046,0.012205022464403534,0.007371007007968679,0.6075894707043441,0.007554533872261043,0.7612615555026052,0.9998854302858543,1.0,0,0
sub-V1048,0.012717426799591739,0.006948009415316382,0.6001028501762874,0.005590768506257614,0.8142185622001881,0.9999018414455535,1.0,0,0
sub-V1049,0.01214992882600221,0.006276347298545944,0.603671624930561,0.009031020829794142,0.7984203692232411,0.999890879933467,1.0,0,0
sub-V1050,0.012033412815544127,0.004765322596487621,0.5994363758319259,0.009608039025843559,0.7950783864892137,0.9999011456147917,1.0,0,0
sub-V1052,0.015097592922115537,0.007164357037886074,0.6039037536805395,0.007485938993679045,0.7475150524385626,0.9999011295779056,1.0,0,0
sub-V1053,0.01728281170663675,0.01216161012536489,0.6026994479377942,0.009425225534622576,0.7761890714241136,0.9999031870500894,1.0,0,0
sub-V1054,0.010372317342814807,0.005525682576861979,0.6065200904316244,0.009898365172092184,0.8117823984371207,0.9998891590412087,1.0,0,0
sub-V1055,0.012166106723885897,0.008509152445628125,0.6020814248680483,0.010151182411167716,0.7588835108484459,0.9998900130012764,1.0,0,0
sub-V1057,0.012447623898399856,0.007296007298089104,0.6000557543438828,0.0108032150297797,0.7786460186560955,0.9998964296882048,1.0,0,0
sub-V1058,0.012556546153042043,0.007873359179069714,0.6005490526813256,0.008792206580514833,0.8016878673233602,0.9998922948399437,1.0,0,0
sub-V1059,0.012819178171960216,0.00970256484957105,0.6019031563326467,0.00769301431482827,0.8203215825317842,0.9998912198700451,1.0,0,0
sub-V1061,0.014288924557712997,0.006837863725991322,0.598289227949311,0.010588647923534122,0.6892754326233944,0.9999049530726984,1.0,0,0
sub-V1062,0.012707718109983201,0.00718372918176089,0.6021279411897191,0.007203755831786662,0.7551928430997279,0.9998968321654211,1.0,0,0
sub-V1063,0.011655546327806958,0.007693627330199193,0.6055174185973395,0.006904435032517243,0.8019948743955271,0.9998875557118962,1.0,0,0
