parcel_idx,label,hemi,tau_mean,rho_mean,tau_r2_mean,rho_r2_mean,x,y,z,tau_resid,rho_resid
85,7Networks_LH_DorsAttn_Post_16-lh,lh,0.011293232294486638,0.59908143206318,0.8115357651698766,0.9999059079861227,-20.9414129970836,-53.92451153709775,63.16374481616377,0.0028121850111852715,0.0019769514980186864
86,7Networks_LH_DorsAttn_Post_17-lh,lh,0.009056709942325067,0.6010475260685898,0.8321361691987079,0.9998948271477381,-15.386701867096406,-50.276124586138806,70.73036589658349,0.0008148161971461756,0.0046736858552477445
87,7Networks_LH_DorsAttn_Post_2-lh,lh,0.008074618521167672,0.6075282237293352,0.8490345521482844,0.9998770960430577,-47.15596871878233,-54.06269714307735,-15.919451797095528,-0.005685940214010619,0.002168002397241686
88,7Networks_LH_DorsAttn_Post_3-lh,lh,0.006083735904905176,0.608011821089037,0.8731077167915421,0.9998710252819182,-53.2125022771322,-62.25397700136548,-3.8142905067428297,-0.006246247600970883,0.004024496301247571
89,7Networks_LH_DorsAttn_Post_4-lh,lh,0.007107979713398151,0.6034554718900172,0.8712690760512257,0.9998822252356957,-46.47895984177876,-67.84704178719133,11.128987582749277,-0.0038571176136176126,0.0011699963666051971
90,7Networks_LH_DorsAttn_Post_5-lh,lh,0.01853234215247525,0.5931525217392599,0.6999968491802095,0.9999358635448712,-26.4475365004726,-69.29530358625301,27.30186345190976,0.008647429679891216,-0.007297324002894068
91,7Networks_LH_DorsAttn_Post_6-lh,lh,0.009505323316516493,0.602448567057439,0.8538128535734631,0.9998922821531419,-50.50214662977085,-33.157821261654995,40.64988930574648,-0.001733854595763057,0.0023483672425712587
92,7Networks_LH_DorsAttn_Post_7-lh,lh,0.015042620667455932,0.5962255177767753,0.7537996597213189,0.9999202187931263,-23.56977437251323,-64.05671753754487,42.030502046121136,0.005802633831498949,-0.0028211096045526185
93,7Networks_LH_DorsAttn_Post_8-lh,lh,0.016335685105033342,0.5964676271758129,0.8000664605875947,0.9999255037962882,-41.80453570444181,-31.00647144860758,38.730709529601945,0.004759835321606055,-0.003809737497201815
94,7Networks_LH_DorsAttn_Post_9-lh,lh,0.01700376889788077,0.5966855707732229,0.7925624579306477,0.9999224792418467,-33.93362460633502,-47.70593910757332,38.35676895789658,0.006476162860596433,-0.003188265052606165
95,7Networks_LH_DorsAttn_PrCv_1-lh,lh,0.011425246975444616,0.6016387252337875,0.815183070398644,0.9998971152925614,-47.97324231275872,6.2063375440996085,24.471581162030425,-0.003606510063587264,-0.000987172084922494
96,7Networks_LH_DorsAttn_PrCv_2-lh,lh,0.01007258736549933,0.6024597332718588,0.8362680499689435,0.9998976734812972,-49.70606513484832,0.9781463359288248,36.64115305562173,-0.0037533939607866315,0.0011792435392738998
97,7Networks_LH_Limbic_OFC_1-lh,lh,0.029777308519025172,0.6053440302784296,0.5968446695573447,0.9999049112315518,-13.292980548075713,21.18468537236926,-21.08755740952804,0.010351056917226268,-0.0019955507331106404
98,7Networks_LH_Limbic_OFC_2-lh,lh,0.03536961177941121,0.6025087940322812,0.5925879614146544,0.9999073538471618,-23.89638536037197,21.985710938771565,-20.290748986126232,0.01601603946337397,-0.004850012349007504
99,7Networks_LH_Limbic_OFC_3-lh,lh,0.034390343094580354,0.6034467275139179,0.5695404677455347,0.9999097573246125,-10.873434260217609,43.48105623411096,-23.46935508130253,0.013277995286713275,-0.004624964286801148
